,text,detection,location
1073,I was fired from my job selling amplifiers . I didn ' t achieve the sufficient volume of sales .,1,17
1074,Did you hear about the compulsive fisherman ? He was really hooked on it .,1,12
1078,The unveiling of the statue was a monumental occasion .,1,8
1081,It ' s hard for a depressed turtle to get out of his shell .,1,14
1082,An apple farmer with poor yields has to get to the core of the problem .,1,12
1083,"As soon as the airplane was invented , things were looking up .",1,12
1084,An astronomy column in the newspaper would have a lot of space devoted to it .,1,12
1085,"When the plane hit turbulence , the passengers went flying .",1,10
1086,"Gravity , it ' s always putting everyone down .",1,9
1088,"If you can ' t buy a person , you can always sell him .",1,6
1090,Did you hear about that new drug that makes people angry ? It ' s all the rage now .,1,18
1092,"She memorized just what kind of locket she wanted , by heart .",1,12
1093,He was a Red Cross blood donor until he went out of circulation .,1,13
1100,She wanted to be a weaver but there were always too many snags .,1,13
1102,The dermatologist was an avid gardener but he had a problem with moles .,1,13
1103,Currently the flower businness is blooming in my town .,1,6
1105,Making gloves is a real hands - on experience .,1,6
1109,Alergy sufferers are itching to get through the hay fever season .,1,4
1110,My grandmother gave me  sound advice on her deathbed : it ' s worth spending money on good speakers !,1,5
1111,I still miss my ex - husband . But my aim is improving .,1,3
1114,Geology class is the foundation of a decent education .,1,5
1119,"I walked past a gang of youths yesterday and one of them threw a piece of cheese at me , which hit me on the back of the head . I turned round and shouted , ' ' That ' s not very mature ! ' '",1,44
1122,My coach got stung by a bee . The next day he had hives .,1,14
1123,My friend asked me to carve a sculpture out of a large rock . It was the hardest thing I ' ve ever had to make !,1,18
1124,"While walking on a tightrope , the accountant lost his balance .",1,11
1126,During branding cowboys have sore calves .,1,6
1127,"The math professor liked even numbers , but only the odd one .",1,11
1128,That new mystery novel has a killer start to it .,1,7
1130,I ' ve been to the dentist several times so I know the drill .,1,14
1132,A gardener who moved back to his home town rediscovered his roots .,1,12
1133,Ampere was worried he wasn ' t up to current research .,1,10
1134,"She was only a Bottlemaker ' s daughter , but nothing could stop her .",1,13
1135,Our country ' s olympic swimming program has quite a talent pool .,1,12
1136,There was a guy who was fired from the orange juice factory for lack of concentration .,1,16
1139,The photographer makes well developed arguments .,1,5
1140,Two geologists were staring at a huge fissure in a cliff face and one was overheard to say ' It ' s not my fault ' .,1,25
1141,"When the electrican apprentice made mistakes , his mother grounded him .",1,10
1144,"Harry and Clem the carpenters , argued mightily on how best to complete the dinette set they were working on . They finally agreed to table the discussion .",1,26
1147,His plan to manufacture pencils just didn ' t draw attention .,1,10
1148,One night a banking tycoon fell overboard from his yacht . He was saved because he could float a loan .,1,18
1151,My friends and I played a game of football on a pile of quarry rock - we lost on aggregate .,1,20
1153,A boxer who wants to get married has the ring to worry about .,1,10
1154,Inventors have their own devices .,1,5
1155,Darwin said he ' d have to see what evolved .,1,10
1156,When the TV repairman got married the reception was excellent .,1,8
1160,Overheard in med school - ' I learned about the colon through the process of elimination . ',1,16
1161,"He recommended the restaurant to me , and said he had no reservations .",1,13
1162,The bored carpenter was out of a job and just lumbered around .,1,11
1164,"Tony attempted to join his thin crust pizza company with Zimo ' s Thick Crust Pizza , but somehow it didn ' t pan out .",1,24
1166,I majored in nursing but I had to drop it because I ran out of milk .,1,4
1168," ' ' My parents are called Billy and Nanny , ' ' Peter kidded .",1,14
1171,I once knew a guy who had fish and chips every day for a year . His stomach took a battering .,1,21
1172,Pavlov was drooling at the thought .,1,3
1173,Continually discovering new viruses can become a strain .,1,8
1174,He studied water purification and had a great thirst for knowledge .,1,9
1175,Those who play musical instruments for radio or TV have to stay tuned .,1,13
1177,"I met a girl at an internet cafe , but we didn ' t click .",1,15
1178,A lovely lady who lost her watch became a timeless beauty .,1,10
1179,Prison walls are never built to scale .,1,7
1182,"A man tried working in a shoe store , but he just couldn ' t seem to fit in .",1,18
1183,"The calculus teacher tried to keep his students on task , but the class discussion kept going off on tangents .",1,20
1184,"I got a deal on a new computer , and they threw in the operating system to boot .",1,18
1186,"A new batter joined the baseball team , and he was a real hit .",1,14
1190,"On being served an extravagant dessert : ' ' So rich , it has its own tax shelters . ' '",1,11
1191,The musician loved drinking and knew all the bars in town .,1,9
1192,What a charming doorway ! The little boy was entranced .,1,10
1194,"A baseball pitcher asked if he had a good curve ball , but wanted a straight answer .",1,16
1195,The astronauts said their experience on the moon was out of this world .,1,13
1197,"After dating the goalie on the local team for a while , she realized he was a real keeper .",1,19
1198,Wrestlers don ' t like to be put on hold .,1,10
1200,Old investors never die they just roll over .,1,7
1201,Could modern submarines be the wave of the future ?,1,6
1203,"Train engineers chat about everything , their conversations often get derailed .",1,11
1209,The archer became the target for the crowd to laugh at .,1,5
1211,The lawyer asked a loaded question about guns .,1,5
1213,"He told me he could eat a 32 ounce steak , but I found that hard to swallow .",1,18
1214,The boy ' s guitar teacher helped him pick up his skills .,1,9
1215,Why was the rabbit depressed ? He was just going through a bad patch !,1,14
1217,"Old grocers never die , they just get shelved .",1,9
1219,"He was almost persuaded to invest in a poultry farm , but chickened out at the last minute .",1,13
1222,The portrait artist made extra money as a census taker . He was good at canvasing people .,1,16
1224,"It ' s true that the earth rotates , but scientists are always putting their own spin on it .",1,17
1225,There was a sign on the lawn at a drug re - hab center that said ' Keep off the Grass ' .,1,21
1227,His model airplane hobby really took off .,1,6
1229,"She was only a Bootleggers daughter , but I loved her still .",1,12
1231,Have you ever wondered why baseball players get girlfriends ? They ' re great at hitting it off .,1,16
1232,He wanted desperately to be a good golfer - you could say he had a driving ambition .,1,16
1236,When the pirate captain ' s ship ran aground he couldn ' t fathom why .,1,14
1237,Attention staff ! The clothes keep falling off the mannequins in ladies ' wear . Would someone please redress the problem ?,1,15
1238,Using deodorant is no sweat .,1,5
1239,A lawyer was defending a math teacher . He had to sum up .,1,12
1241,Heart surgeons never bypass a good opportunity .,1,4
1246,Old gardeners never die they just vegetate .,1,7
1247,People who make motor oil are very refined .,1,8
1249,The play on fishing had quite a cast .,1,8
1251,Did you hear about these new reversible jackets ? I ' m excited to see how they turn out .,1,18
1254,"It ' s not the minutes spent at the table that put on weight , it ' s the seconds .",1,20
1257,"When he proposed to her , she found it very engaging .",1,11
1259,"When I asked the man how he became a ditch - digger , he said he just fell into it .",1,18
1260,Anyone should know how to put a saddle on a horse so it won ' t slip and cause an injury . It ' s a cinch .,1,27
1261,"That ' s a cool chair . Yeah , I know , it rocks .",1,14
1262,If you run through a screen door you ' ll strain yourself .,1,11
1263,There is rarely a sale on beer because the demand is always high so there ' s no need to create a buzz .,1,23
1264,Did the reproducing amoeba get a splitting headache ?,1,7
1265,Since I ' ve taken the job in The Everglades I ' ve been swamped !,1,15
1267,To teach someone how to build a compass you have to be good at giving directions .,1,16
1268,"The farmer decided to get a cow , and milk the idea for all it was worth .",1,10
1270,He who hogs the sheets is usually very wrapped up in himself .,1,9
1274,Can I tell you a story about my bed ? I made it up .,1,12
1275,I was going to order a satellite dish but then I found out that I had to go through channels .,1,20
1277,My fear of planes has taken off .,1,6
1278,"The dentist ' s alibi was full of holes , so the police performed a cavity search .",1,9
1279,"I ' m going to be discussing global warming next week , it ' s quite a heated topic .",1,18
1281,An artist with the military kept drawing enemy fire .,1,7
1282,"Because of too much stress , the violinist has become unstrung .",1,11
1283,He was hit on the head during a hail storm and was knocked out cold .,1,15
1284,"The car stopped with a jerk , then the jerk got out .",1,6
1287,The safe was invented by a cop and a robber . It was quite a combination .,1,16
1291,The dance club opened to rave reviews .,1,6
1294,We spent all day debating about housefires . It was quite a heated argument .,1,13
1295,Old statues never die they just get busted .,1,8
1296,Students who accent their textbooks with color markers add a real highlight to their day .,1,12
1298,Pasteur was boiling about not being invited .,1,3
1300,"After judges get drunk , they just slur their sentences",1,10
1301,Have you heard the joke about the bomb ? It had no impact .,1,13
1302,"He got a job in a factory making needles , but soon got stuck .",1,14
1304,"Salesmen don ' t get fired , they go out of commission instead .",1,12
1305,The banker lost interest in his hobbies .,1,4
1308,The one thing that is constant is Change especially if you are a cashier .,1,8
1309,That really nice fellow works in a clothing factory sewing zippers on jeans . That is good . He wouldn ' t hurt a fly .,1,25
1310,To plan a graveyard you need a skeleton idea before a detailed plan .,1,8
1311,While the music was playing the geology teacher was rocking around .,1,10
1312,Banning Viagra was a big flop .,1,6
1314,The warden gave the inmates acne medicine hoping it would keep them from breaking out .,1,14
1315,Plenty of people give the lord credit . Few give him cash .,1,7
1317,I really do have a photographic memory - - I just haven ' t developed it yet .,1,15
1320,"Doctor , Doctor , should I file my nails ? - No . Throw them away like everybody else . Next .",1,7
1321,He ' s a good letter carrier . He always keeps you posted .,1,13
1323,"Judges make good choices , but sometimes lose their judgment .",1,10
1324,After selling a shipment of salt the salesman said ' let ' s shake on that . ',1,14
1325,Someone who robs shoe stores is an arch criminal .,1,8
1326,The doctor couldn ' t transfer the organs because he didn ' t have the guts to do it .,1,16
1327,"The valuable dog was still missing , believed stolen , however the police announced they have a lead .",1,18
1331,"An hobbituary to Tolkien appeared in each of the major newspapers , all had a familiar ring to them .",1,17
1332,"The passenger couldn ' t find where his next flight was , but then he made the connection .",1,18
1336,"Old chemists never die , they just stop reacting .",1,9
1338,Why do people preserve fruits and vegetables ? Because they ' can ' .,1,12
1339,He bought lots of pens before starting his new job . He wanted to make his mark .,1,17
1340,"In the room the curtains were drawn , but the rest of the furniture was real .",1,7
1342,They argued about their vacation and finally stayed at the last resort .,1,12
1343,Eating too many snacks when studying for a test is called cramming .,1,12
1345,"She was only a Telephone operator ' s daughter , but she sure had good connections .",1,7
1349,A teacher used his index finger to ask a lot of pointed questions .,1,12
1350,Since Bruce got too close to the big blade at the saw mill he is no longer feeling chipper .,1,19
1351,Opening a new funeral parlor can be quite an undertaking .,1,10
1355,Grills are a hot item .,1,4
1356,There was once a cross - eyed teacher who couldn ' t control his pupils .,1,15
1357,A woodcutter ' s world revolves on his axes .,1,9
1358,He has been a jogger for three years running .,1,9
1360,In certain sexual harassment cases things can get kind of touchy .,1,11
1363,Good basketball players never quit they just go on dribbling .,1,10
1364,"I ' ve got to fix the automobile , said Jason mechanically .",1,12
1365,Is there a best month of spring ? There May be .,1,10
1366,A guy swallowed a spoon and found he couldn ' t stir .,1,12
1367,Ducks don ' t have their palms read - they look for it on the web .,1,16
1369,I nailed my wood - shop test .,1,2
1372,"Old judges never die , they just cease to try",1,10
1374,"Tim is a lousy swimmer , but he knew every dive in town . ",1,11
1377,"When they bought a water bed , the couple started to drift apart .",1,12
1381,A young nurse was nervous about giving vaccinations but gave it her best shot .,1,14
1382,If you tell a falsehood just after waking up you are lying in bed .,1,12
1383,After that poisonous snake struck at me in the Arizona Desert I was really rattled .,1,15
1384,He shined a police officer ' s shoes and had a brush with the law .,1,12
1385,' Change the channel ' she said remotely .,1,8
1389,The cost of the space program is astronomical .,1,8
1391,People who like yogurt are well cultured .,1,7
1392,She played baseball and so did he . They hit it off .,1,10
1393,"A doorbell salesman joined the choir , and chimed right in .",1,9
1394,He got measles in jail when he broke out one night .,1,8
1395,A fisherman who was also a pianist was an expert with scales .,1,12
1396,The melody kept on playing until it became a strain .,1,10
1397,The two bowlers bore a striking resemblance .,1,6
1400,"It was a sad day for the rattlesnake family , the time had come for the children to strike out on their own .",1,19
1401,"When I had my PlayStation stolen , my family were there to console me .",1,13
1403,Young women who are mathematics professors closely watch their figures .,1,10
1404,He had trouble in his new job making tents and got himself into a flap .,1,15
1407,Poor blood circulation runs through the family .,1,3
1408,If a lawyer speaks for too long there will be an extended sentence .,1,13
1410,He was a restaurant critic but had no taste .,1,9
1412,"Wally wasn ' t sure in which branch of the Army he wanted to serve , but he gravitated toward the paratroops .",1,19
1414,I met a math professor who has 12 children - she really knows how to multiply .,1,16
1416,"My new girlfriend and I are moving together into a tree house , I hope we won ' t fall out .",1,20
1417,I used to be a banker but I lost interest,1,10
1418,"Old proctologists never die , they just face the end .",1,10
1419,"My dentist seems distracted , I think he was brushing me off .",1,10
1421,"He is a terrible governor ' s son , but what a state he was in .",1,13
1423,"On TV it ' s a maze of channels , luckily he had a guide .",1,7
1424,"Doctor , doctor , people tell me I ' m a wheelbarrow . - Don ' t let people push you around . Next .",1,20
1425,"Never invest in funerals , it ' s a dying industry .",1,10
1426,Hangmen always keep their customers in the loop .,1,8
1427,Roentgen was radiating .,1,3
1428,"Old boxers never die , they just punch out",1,8
1431,"Sky divers don ' t jump , they just fall away .",1,10
1432,"Old planets never die , they just lose their attraction .",1,6
1433,I wanted to make suits but I could never measure up .,1,10
1436,"Those card players never run , they just shuffle off .",1,9
1437,The earliest mention of cars is in the Bible when Adam and Eve were driven out of the Garden of Eden .,1,15
1438,When a guillotine executioner is layed off he gets severance .,1,10
1439,I like elevators they let me say jokes on every level .,1,11
1440,"Old alcoholics never despair , they just lose their spirit .",1,10
1441,Old tanners never die they just go into hiding .,1,9
1442,Jenny was sure she was going to Heaven but she wouldn ' t harp on it .,1,14
1443,A nuclear war can ruin your whole day . . .,1,5
1444,In Ireland you ' re more likely to get a Pat answer .,1,11
1447,Tires are fixed for a flat rate .,1,6
1449,"He was the most dishonest and cleverest card shark in the city , the police said he will be dealt with .",1,20
1450,"Electricians get hospitalized , but they also get discharged .",1,9
1451,The trampoline was on sale for fifty per cent off . Needless to say I jumped on the offer .,1,16
1452,"I wanted to be a sonar technician , but it was out of my depth .",1,15
1456,The railway constructions are on track .,1,6
1458,Stamp out excessive postage prices .,1,1
1460,He put so many blanks in his document that he started to feel spaced out .,1,14
1462,The mother kangaroo tried to instill good financial habits in her baby . She told him to pocket all his allowance .,1,18
1463,Highways today are much better than they were many years ago and there are lots of concrete examples of it .,1,17
1465,Don ' t get lost in the mist or else you won ' t have the foggiest idea where you are .,1,17
1466,"A former doctor , while auditioning for a play , broke his leg . But luckily , he could still make the cast .",1,23
1469,"Some jokes get dated , other jokes get married .",1,4
1470,"I ' ve never tipped a cow . Then again , one has never served me food .",1,5
1471,Have you heard about that online origami store ? It folded .,1,11
1473,"She was surely an attorney ' s grandchild , but what a will to break .",1,13
1476,He didn ' t want to volunteer for the rodeo but he got roped into it .,1,14
1477,"When he switched from horses to sailing , his life took on a new tack .",1,15
1479,I wrote a novel about a fellow who had a small garden . It didn ' t have much of a plot .,1,22
1485,A man given a watch at his retirement said ' it ' s about time ' .,1,15
1488,A thousand dogs were stolen from a pet shop on Saturday . Police say they have no leads .,1,18
1491,Aliens can easily understand each other because their language is universal .,1,11
1492,"At first he was was a sprinter , but then he decided to run for office .",1,14
1495,"Doctor , Doctor My little boy has just swallowed a roll of film ! - Hmmmm . Let ' s hope nothing develops . Next .",1,23
1496,I wondered why my geometry class was always tired . They were all out of shape .,1,16
1497,We offer counsel so you are not audited on your final return .,1,11
1499,"Old bootleggers never die , they just keep still .",1,9
1501,To draw cartoons for a living requires someone who is very animated .,1,12
1502,Bill Gates took advantage of his Windows of opportunity,1,7
1503,I ' m drawn to art .,1,4
1504,"Old mathmaticians never die , they just lose some functions .",1,10
1505,When you can ' t decide with your friends whose place to have a party at it ' s known as party politics .,1,22
1506,Missionaries like open hooded cars because they are convertible .,1,9
1507,The first time he put the horses on the carriage it went without a hitch .,1,15
1508,Undertakers ' Motto - Trust us . We are the very last ones to put you down .,1,17
1509,We are overdressed when we are wrapped up in ourselves .,1,7
1510,The inventor of sandpaper had a rough time of it .,1,7
1512,The inventor of the stove top was in his element .,1,10
1513,Astronauts work in a nice atmosphere .,1,6
1514,Well drilling is a deep subject .,1,5
1516,"This is a picture of my new house , said Jack , visibly moved .",1,14
1517,I ' m buying a birthday present for a sculptor . Can you chip in ?,1,14
1518,"My cavity wasn ' t fixed by my regular dentist , but by a guy who was filling in .",1,18
1519,"Old typists never die , they just lose their touch .",1,5
1520,Installing a fan can be a breeze .,1,7
1521,Skipping school to bungee jump will get you suspended .,1,9
1523,There is only one way to open the door and that is the key .,1,14
1526,"Old gravediggers never die , they just get buried in their work",1,9
1527,When the shocked IRS agent was found guilty of tax evasion he had to take time to collect himself .,1,18
1529,The rodent catcher was always trying to weasel his way out of work .,1,8
1532,When some coins fell into the batter it turned out to be a rich cake .,1,14
1534,"When the shoe store owner discovered that someone had broken into his store , the police pumped him for information .",1,17
1537,Two mathematicians arguing about even numbers were at odds .,1,9
1538,The weather bureau is an umbrella organization .,1,6
1539,"OLD TELEPHONE OPERATORS never die , they just become disconnected .",1,10
1541,"I strongly dislike the subject of math , however I am partial to fractions .",1,12
1542,The builders of raceways believe that one good turn deserves another .,1,9
1543,A computer program attached to an electric chair would have to have its execution checked carefully .,1,14
1545,"My mate swallowed a cordless vacuum cleaner , they took him to hospital and he is picking up nicely .",1,17
1546,My mom ran out of poultry seasoning so she winged it .,1,10
1549,A bowling team was called ' lightning ' because they had so many strikes .,1,14
1553,"He had to learn what the measles was , from scratch .",1,11
1555,"She had a boyfriend with a wooden leg , but broke it off .",1,11
1556,One leftover said to another ' foiled again . ',1,7
1557,Underpaid weather forecasters predicted a storm of protest .,1,6
1558,The painter was hospitalized due to too many strokes .,1,9
1559,Trust your calculator . It ' s something to count on .,1,10
1560,"When asked by a passenger how high he would get , the pilot replied , ' I don ' t do drugs . '",1,7
1561,The journalist went to Greece to see the ancient ruins and is now writing several columns about them .,1,16
1562,The mortician was late for dinner because he was buried in his work .,1,10
1563,"OLD RABBIS never die , they just get grey around the temples .",1,12
1564,When the janitor wanted to take up public speaking he always had the floor .,1,14
1565,"OLD GUITARISTS never die , they just become unstrung .",1,9
1567,The date of the marathon was changed . She took it in stride .,1,13
1569,A cutlery manufacturing company was built at a fork in the road .,1,9
1573,People in the desert have dry humor .,1,6
1574,"A sign at a cemetery reads , ' No Trespassing , Violators Will Face Grave Charges ' .",1,15
1578,"For a long time , black holes were a dark secret .",1,10
1584,Cooks have a lot of spice in their lives .,1,6
1585,The defendant in a coffee theft trial refused to testify on the grounds that could incriminate him .,1,13
1587,"OLD LANDSCAPERS never die , they just get weeded out .",1,9
1588,"In medical school he worried about passing as a surgeon , but he made the cut .",1,16
1589,"A cat found a mysterious sweater , but the mystery was soon unravelled .",1,13
1590,"Notice in a field : The farmer allows walkers to cross the field for free , but the bull charges .",1,20
1591,I didn ' t have the faintest idea as to why I passed out .,1,7
1592,I used to work in a blanket factory but it folded .,1,11
1596,His qualifications as a math teacher didn ' t add up .,1,10
1605,How could I trust the ceiling fan installer when I knew he was always screwing up .,1,15
1607,A musician went to hospital after playing too many accidentals .,1,10
1608,If you want a metal dog leash go to a chain store .,1,11
1609,"If they ever have a contest for the best looking mannequin , there will be stiff competition .",1,16
1610,"Set your drink on a skateboard , they make good coasters .",1,11
1614,"OLD PHILOSOPHERS never die , they just retire to their own premises .",1,12
1615,People who work at a mint make a lot of money .,1,6
1618,"Have an optometrist run for president , because they are people of vision .",1,13
1620,She was only a whisky maker but he loved her still .,1,11
1621,When the beautician was asked to complete her make - up work she blushed .,1,14
1622,"As usual , the chief meteorologist blustered his way through the staff meeting .",1,7
1624,"OLD BUTCHERS never die , they just get disjointed .",1,9
1625,If you miss a class at beauty school you ' ll need a makeup session .,1,14
1627,The musician in jail was anxiously awaiting his next release .,1,10
1628,The man addicted to brake fluid said he could stop any time .,1,10
1631,"OLD HACKERS never die , they just go to bits",1,4
1632," ' ' I ' ve got to stop this motor , ' '  Lauren choked .",1,15
1636,"OLD HELICOPTER PILOTS never die , they just lose their choppers .",1,6
1637,The cat took up computer lessons in hopes of mastering its grip on a mouse .,1,15
1638,Packing up and relocating to a new home can be a moving experience .,1,12
1642,The earless defendant waived his hearing .,1,6
1645,The hotel chef was noted for his tomfoolery and his capers .,1,11
1646,Sea captains have a lot of latitude .,1,7
1647,"OLD LIBRARIANS never die , they just lose their circulation .",1,5
1648,Scientists allow us to see the sun in a different light .,1,11
1650,Dentists have the same old grind day after day .,1,6
1651,The star asked the sun why the moon was always up so late . Sun responded that it was just a phase .,1,22
1652,Erasable pens were a good idea on paper .,1,8
1653,If you do research in optics you will have to do some light reading .,1,13
1656,"I could not pull out of my parking space , so I used my back up plan .",1,15
1658,A cow that is pampered too much will give spoiled milk .,1,10
1659,"When Irish boys carry their little brothers , they get a Pat on the back .",1,8
1660,He died leaving 100 clocks . His son is winding up the estate .,1,10
1661,He bought a donkey because he thought he might get a kick out of it .,1,12
1665,Did you hear about the pilot who always had work ? He was great at landing a job .,1,16
1666,Do you have any parting words ? - How about comb and brush ?,1,5
1670,Two banks with different rates have a conflict of interest .,1,10
1671,When crazy glue was invented lots of people became attached to it .,1,10
1675,"When the wheel was invented , it caused a revolution .",1,10
1676," ' ' It ' s twelve noon , ' ' Jack chimed in .",1,12
1677,The butcher backed up into the meat grinder and got a little behind in his work .,1,13
1678,Beats me why anyone would want to be a masochist .,1,1
1682,"After he invented the light bulb , people saw Edison in a new light .",1,14
1686,The best way to stop a charging bull is to take away his credit card .,1,7
1687,I wanted to exercise last night but it just didn ' t work out .,1,13
1689,Some people with a lot of vision started the Blind Institute .,1,7
1690,Everyone ' s fuming over the high cost of gas .,1,4
1691,"She told me the drink was non - alcoholic , but where was the proof ?",1,15
1692,During a tennis match one player gave the other a backhanded compliment .,1,11
1694,He auditioned for a part as a trumpet player but he blew it .,1,12
1695,Most males in a men ' s room are stand - up guys .,1,10
1696,A girl and her boyfriend went to a party as a barcode . They were an item .,1,17
1697,There was an eye doctor who wanted to re - locate but couldn ' t find a job because he didn ' t have enough contacts .,1,26
1698,"Jane is a fireman ' s cousin , but she ' s really going to blazes .",1,16
1700,"Last week I was diagnosed with insomnia , and now I ' m just so tired of it .",1,16
1701,Musical composers can use lots of Note paper .,1,7
1702,Small people are in short supply .,1,5
1703,Burning too much incense in a rented room could make the owner incensed .,1,13
1704,"For a fish , the end of a barbed hook is the ' ' point ' ' of no return .",1,15
1705,Drumming is not the way to catch a hare .,1,1
1707,Two silk worms had a race . They ended up in a tie .,1,13
1708,Semaphore was flagged away as a form of communication decades ago .,1,3
1711,OLD BEEKEEPERS never die they just buzz off .,1,7
1712,I ' d tell you a joke about a cow but I always butcher it .,1,14
1713,There ' s a new magnetic steam iron that makes your clothes attractive .,1,13
1715,The police auction was a complete bust .,1,7
1719,"My dog has a lot of potential , you just have to unleash it .",1,13
1720,To some - marriage is a word . . . to others - a sentence .,1,15
1726,"Years ago , changing TV channels from a sitting position was a remote possibility .",1,13
1728,"I ' ve passed the exam this time , Susan remarked .",1,11
1729,Waiters are good at multiplication because they know their tables .,1,10
1730,When he forgot to itemize what he wanted at the grocery store he felt quite listless .,1,16
1732,I got a small ticket for speeding . It ' s fine with me .,1,12
1734,I once had insomnia so bad I was awake until it dawned on me .,1,12
1735,Surfing is a swell sport !,1,4
1736,Some food for thought is only baloney,1,7
1737,Stolen eggs are poached .,1,4
1739,"Professional rock climbers , the only people paid to get high .",1,11
1742,"When the doctor asked the editor how he was doing , he said he had a problem with his circulation .",1,20
1744,"I didn ' t understand the math , so the teacher summed it up for me .",1,12
1747,For a dishonest employee : He ' s an unbelievable worker .,1,10
1748,"I wanted to do some research on anorexia , so I went to the library to get the skinny .",1,19
1749,When the spice ships used to bring goods to the king the captain was peppered with compliments .,1,15
1751,The only similarity between ancient times and the 1970 ' s is that both were full of people getting stoned .,1,20
1753,What did the triangle say to the circle ? You ' re so pointless .,1,14
1756,"I tried wrapping Christmas presents , but I didn ' t have the gift .",1,14
1757," ' ' I love hot dogs , ' ' said Jimmy with relish .",1,13
1758,"In the army mess hall , the men were getting fed up .",1,11
1759,People who eat their apples stem and seed and all improve their core values .,1,13
1761,Piano players know what bar they are in .,1,5
1762,Two clock makers argued and got ticked off .,1,7
1763,Some people take beautiful pictures and cut them into pieces . That ' s a puzzle to me .,1,16
1764,"I found out that at the gym , their opinion on fitness carries a lot of weight .",1,17
1767,"When a new baby comes into a family , many changes are necessary .",1,11
1768,The royal pharmacist wore a tuxedo and dispensed with formalities .,1,8
1773,The astronomer became an actor because he always wanted to visit the stars .,1,13
1775,"OLD GEOLOGISTS never die , they just have their faults",1,10
1778,Meet me at the clothes line . That ' s where I hang out !,1,13
1780,The inventor of shag carpet made a big pile .,1,9
1781,I ' ve always pictured myself taking selfies .,1,5
1782,"He would promise to play golf , but he didn ' t know how to follow through .",1,16
1783,The artist was great . He could always draw a crowd .,1,9
1785,Glue inventors have to stick to it .,1,5
1786,He made a slow start in the sport of weightlifting but he picked it up eventually .,1,13
1787,The president of a ladder manufacturer had to step down .,1,9
1790,A boiled egg in the morning is hard to beat .,1,10
1792,The general started bowling before his aide had entered his name on the score sheet . He had launched a pre - emptive strike .,1,24
1794,Biscuits and speeches are better when made with shortening .,1,9
1795,Biologists have recently produced immortal frogs by removing their vocal cords . They can ' t croak .,1,17
1796,Digging a hole for a coffin is a grave matter .,1,9
1797,"When the CEO dropped his brownie on the calculator , was he trying to fudge the numbers ?",1,15
1798,Noteworthy musicians are very composed .,1,5
1799,Stereo speakers are made by ' high volume ' manufacturers .,1,8
1801,A karate school restaurant served mainly chops .,1,7
1803,For insomnia move to the edge of the bed and you ' ll soon drop off .,1,15
1804,"He tried to sell me glass with imperfections in it , but I saw through it .",1,15
1805,Those who make balls of wool for a living like to come home and unwind .,1,15
1806,I wondered why the baseball was getting bigger . Then it hit me .,1,12
1807,The athlete colored her hair and started a winning streak .,1,10
1808,A balding man and his hair are soon parted .,1,9
1809,Oil executives are always using crude language .,1,6
1812,"OLD VACUUM CLEANER SALESMEN never die , they just get sucked in !",1,6
1813,When writing out drink recipes you have to have a first draft .,1,12
1814,"He worked in a chocolate factory , but always took his sweet time .",1,12
1815,Did you hear about the crab in financial difficulty ? It was starting to feel the pinch .,1,18
1819,I made a really cheesy pun about quesadillas the other day .,1,5
1820,The organizational get together for a company football team was called a kickoff meeting .,1,13
1821,He lit the arrow head because he wanted to fire it .,1,10
1822,"Don ' t add too much water , said Jimmy with great concentration .",1,13
1824,Some people still think that writing long stories is a novel idea .,1,11
1826,She swallowed a peach seed and could feel it in the pit of her stomach .,1,12
1828,"I like modern painting , said Daniel abstractly .",1,8
1830,The price of the big fan blew me away .,1,7
1832,The Biomedical Engineer didn ' t have the heart to check the EKG machine .,1,9
1833,"My stuffing was bad , so I got some sage advice .",1,10
1834,Morticians make you feel dead gorgeous .,1,5
1835,The janitor ' s union called for sweeping reforms .,1,8
1836,He folded and straightened the money because he wanted a tidy sum .,1,12
1837,The boy had never played basketball before so he decided to give it a shot .,1,15
1840,The hostage said he couldn ' t stay on the phone long because he was tied up at the moment .,1,16
1841,"Bring your spirtual Marshmellows , our pastor is on fire !",1,10
1844,The agreeable tennis umpire was generous to a fault .,1,9
1849,Arguments about the weather will eventually blow over .,1,7
1852,What are you taking pictures of ? Daniel snapped .,1,9
1853,Endorsement by an olympic swimmer caused a company ' s profits to dive .,1,13
1857,It ' s no wonder that some baseball players have lots of money - often even many of the bases are loaded .,1,22
1858,Good police officers never miss a beat .,1,6
1859,To save money for the company he cut all the electricity . They were soon in the black .,1,18
1860,"I try wearing tight jeans , but I can never pull it off .",1,11
1861,"At first I hated my haircut , but now it ' s growing on me .",1,13
1863,A sports match was attended by many scores .,1,8
1866,Your very last breath will be a fatal blow .,1,9
1870,"I had an appointment with the chiropractor , but I backed out .",1,11
1871,When the baby bird penned his first novel he was just a fledgling author .,1,13
1872,Artificial knees and elbows were developed during a joint project .,1,9
1873,"I always believed my body was a prison for me . I was right , in biology I learnt they were made of cells .",1,24
1875,I used to hate maths but then I realised decimals have a point .,1,13
1878,The boy who got electrocuted was unable to give a statement because he was still shocked at the incident .,1,16
1879,She got fired from the hot dog stand for putting her hair in a bun .,1,15
1880,The case against a donut thief was full of holes .,1,10
1883,"The duck said to the bartender , ' put it on my bill . '",1,13
1884,"While having a hard time water - skiing , the boy commented , ' This is such a drag . '",1,19
1885,When the artist tried to draw a cube he had a mental block .,1,13
1886,When the air conditioning failed in the indoor stadium there was a fan protest .,1,13
