,text
582,Ultimate office automation : networked coffee machines .
583,Any golfer will tell you the gospel truth . Your next shot always depends on the lie .
584,A rolling stone gathers no moss .
585,A tatoo artist has designs on his clients .
586,Dentists practice by going through many drills .
587,"OLD PICKPOCKETS never die , they just steal away ."
588,Curiosity didn ' t kill the cat . I got ' im with the mower !
589,A little boy called his father who made balloons ' pop ' .
590,"The stock market crashes , but Viagra beats the flop ."
591,Plagiarism is the sincerest form of flattery .
592,Three fingers were willing to cooperate but the thumb and forefinger were opposed .
593,Those who build roofs are so inclined .
594,A skier who makes it to the olympics finds that it is all downhill from there .
595,When the human cannonball retired they couldn ' t find a replacement of the right caliber .
596,A horse is a very stable animal .
597,"OLD ESKIMOS never die , they just go cold ."
598,"You really are addicted to soccer , you should think of kicking the habit ."
599,"She was only a Magistrates daughter , but she knew what to do on the bench ."
600,What happens when you get scared half to death . . . . . twice ?
601,The first fish to gather in schools was the grouper .
602,Put your money where your mouth is .
603,I wanted to lose weight so I went to the paint store . I heard I could get thinner there .
604,If all your troubles are melting away watch out for the floods .
605,Justice delayed is justice denied .
606,What ' s good for the goose is good for the gander .
607,"OLD PLAGIARISTS never die , they just steal away ."
608,"I used to be addicted to soap , but I ' m clean now ."
609,"Profanity , the language of computer professionals"
610,If I want your opinion I ' ll beat it out of you !
611,Some cardiologists are heartless .
612,All good things must come to an end .
613,"I went to buy some property with a hill on it , but it was a little steep ."
614,I find that movies about submarines always go down well .
615,"If it ' s obvious , it ' s obviously wrong ."
616,""" WHO CARES where Carmen Sandiego is ? """
617,""" She ' s dead , Jim . Still warm , though . Flip ya for her ? """
618,A racer who was also a golfer really knew how to drive .
619,If you invite an insomniac to your pajama party they will be up for it .
620,Army dentists make a good drill corps .
621,Dermatologists often make rash statements .
622,My name is Bet . I ' m a coupier .
623,A young sailor thought all of the waves were just swell .
624,OLD PROGRAMMERS never die they just go to bits .
625,Give and you might receive . Take and be sure of it .
626,Backups are usually a good thing unless it ' s a sewer .
627,The Vikings landed during thunder and lightning and took the city by storm .
628,"OLD BREAD MEN never die , they just lose their dough ."
629,Seafood operations start out on a small scale .
630,Civil servants named Grant are known as government grants .
631,"Here , you go first , you ' re immune to bullets ."
632,I wish Noah had swatted those two mosquitoes . . . . .
633,We should not expect to find old heads on young shoulders .
634,I might study something at a university that someone once told me about - there is a degree of ambiguity there .
635,When ancient wall sculptors were finished it was a relief .
636,"The hot dog vendor answered , with a tone quite frank ."
637,"OLD MATH PROFESSORS never die , they just use strange expressions ."
638,"When all is said and done , more is said then done ."
639,OLD SEWAGE WORKERS never die they just waste away .
640,A half truth is a whole lie .
641,The thief had a bold plan . He figured he could carry it off .
642,How do they get Teflon to stick to the pans ?
643,OLD SEERS never die they just lose their vision .
644,Where God has a church the devil will have his chapel .
645,"Everyday is a gift from god , that is why it is called the present"
646,A low yield atomic bomb is like being a bit pregnant .
647,There’s no high like the most high .
648,"OLD LAUNDRY WORKERS never die , they just are decreased ."
649,"She was only a Moonshiner ' s daughter , but I love her still ."
650,God cures and the physician takes the fee .
651,A cynic smells flowers and looks for the casket .
652,It takes all sorts of people to make a world .
653,"OLD UNIVERSITY PRESIDENTS never die , they just lose their faculties"
654,"I was going to buy a book on phobias , but I was afraid it wouldn ' t help me ."
655,The aluminum foiled my plans .
656,She was only a Waitress ' s daughter but she sure could dish it out .
657,The hypnotist went out of business because he ran out of suggestions .
658,For class schedules Yoga instructors are flexible .
659,Hockey players are terrible chess players because they are always getting checked .
660,I do a lot of spreadsheets in the office so you can say I ' m excelling at work .
661,He bent over to pick up a sieve and strained himself .
662,"When they told him that his drum couldn ' t be fixed , it didn ' t resonate very well ."
663,"A fisherman tried boxing , but he only threw hooks ."
664,Federal Law prohibits the removal of this tagline
665,Winning candy as a prize is always a sweet victory .
666,"During his lifetime , the composer Bach was a noted success ."
667,"OLD POKER PLAYERS never die , they are just discarded ."
668,Press any key to continue . . Any other key to format hard drive .
669,' ' I can take photographs if I want to ! ' ' Tom snapped .
670,Lightning storms can be very striking .
671,Our bikinis are exciting . They are simply the tops .
672,High on a ladder he saw a beautiful girl below . He fell for her .
673,"When underwear fell in the vat at a beer - makers , a scandal was brewing ."
674,"Pencils could be made with erasers at both ends , but what would be the point ?"
675,Old burglars never die they just steal away .
676,Lumberjacks have to keep problem logs .
677,"My name is Grant , I am a loan officer ."
678,Midwives don ' t like to wear breeches .
679,"She was only a Farmer ' s daughter , but she knew hundreds of ways to fertilize ."
680,Molecules boiling points vary to some degree .
681,A girl a day keeps the wife away .
682,Suicidal twin kills sister by mistake . . . news at 11 !
683,"My name is Joe , an espresso vender"
684,Haste makes waste .
685,Two friends took ropes to school so that they could skip out .
686,Many people need to learn to be happy with the State they are in .
687,Pipe fitters often have high pressure jobs .
688,"' ' I told you not to ride that horse , ' ' Tom nagged ."
689,Coaches usually have a goal in mind .
690,The meat truck took a long time to deliver because of the Jerky ride .
691,Suicide at sea is definitely going overboard .
692,"An exterminator in Idaho announced that he invented a new spray , one application of which will remain effective for a full season . ' ' Of course , ' ' he warned . ' ' I ' ve still got a few bugs to iron out . ' '"
693,Swimmers have to be careful not to get into deep trouble .
694,"OLD RAILROADERS never die , they just derail ."
695,Time flies .
696,The invention of a shirt fastener after the button was a snap .
697,Life after death for evil doers has always been a hot topic .
698,The man who impulsively got a cat despite his allergies later realized that it was a rash decision .
699,"OLD CARD PLAYERS never die , they just fold ."
700,"She was only a Fruit vendor ' s daughter , but , my , she had big melons ."
701,"Walk softly , carry a big stick ."
702,Boyle said he was under too much pressure .
703,The color of the sun in the early morning : rose .
704,Driving on so many turnpikes was taking its toll .
705,"Fool me once , shame on you . Fool me twice , shame on me ."
706,A ham walked out of the hospital and said ' ' I ' m cured ' ' .
707,If you ' re looking for oranges on an apple tree you will have a fruitless search .
708,"First come , first served ."
709,In high school I recall having a beautiful but difficult math teacher . She was easy on the eyes and hard on the pupils !
710,Those with scissors shouldn ' t use cutting words .
711,What ' s the deal with negotiations ?
712,The family elders have relative importance .
713,A skier who loses a race on a cold day will have a frosty disposition .
714,"OLD PROGRAMMERS never die , they just get bugged with life ."
715,"Christians , keep the faith . . . but not from others !"
716,Those who get up at sunrise have many ideas dawn on them .
717,An experienced waiter can give a lot of good tips .
718,Someone who gossips to you will gossip about you .
719,A little greed can get you lots of stuff
720,Every man thinks his own geese swans .
721,"Money is the Root of All Evil . For more info , send $ 10 ."
722,"' ' This must be an aerobics class , ' ' Tom worked out ."
723,Don ' t go between the tree and the bark .
724,Mind your P ' s and Q ' s .
725,The most popular operation for orthopaedic surgeons is upper - leg surgery : very hip .
726,Actors are cast through their good and bad stages .
727,Food for bad dogs is bought by the pound .
728,"My son wanted a scooter . When I told him they are too dangerous , he moped around the house ."
729,"Spare the rod , spoil the child ."
730,"OLD MATHEMATICIANS never die , they just go off on a tangent"
731,A thief fell and broke his leg in wet cement . He became a hardened criminal .
732,A career is a job that takes about 20 more hours a week .
733,Strip mining prevents forest fires .
734,De Broglie waved aside the invitation .
735,"In parking lots , arguments often start from scratch ."
736,Some shoe sales have a good selection to boot .
737,"When the town removed billboards , they told people that ' s how it was designed ."
738,Good eating deserves good drinking .
739,An army officer is a position that some people shoot for .
740,The electrician got his supplies at the outlet store .
741,The lumber company downsized . They got rid of the deadwood .
742,You can ' t have your cake and eat it too .
743,"Waiter , there ' s a fly in my soup ! ' ' I know . It gives you a nice buzz doesn ' t it ? ' '"
744,"Tailors enjoy hanging out in internet fora , as they are full of threads ."
745,Always remember you ' re unique - just like everyone else .
746,"If you make yourself into a doormat , people will wipe their feet on you ."
747,Priests can ' t marry without prior approval .
748,"Old artists never die , they just put things in perspective ."
749,Don ' t put all your eggs in one basket .
750,"Go away , you snake ! Tom rattled off ."
751,"Whom God will destroy , he first make mad ."
752,I never understood why people liked to play soft ball . It ' s a very underhanded thing to do .
753,"Tom was so tired , he lied about his bed ."
754,Home sweet home .
755,"She was only an Artist ' s daughter , but what a crowd she could draw ."
756,The pen is mightier than the sword .
757,"OLD KENTUCKY FRIED CHICKEN FRANCHISERS never die , they just chicken out ."
758,OLD PILOTS never die they just take off .
759,My name is Marshall . I ' m a peace officier .
760,"Goose , gander and gosling are three sounds but one thing ."
761,Astronomers often have their own private viewpoints .
762,"OLD CRICKETERS never die , they just get bowled over ."
763,Smaller babies may be delivered by stork but the heavier ones need a crane .
764,A farmer with a rip in his clothes has an overall problem .
765,"She was only a Dairyman ' s daughter , but what a calf"
766,"Doctor , Doctor , this ointment you gave me makes my arm smart . . - Then rub some on your head ? Next ."
767,It ' s quiet in a bowling alley because you can hear a pin drop .
768,I just got back from a statistical probability conference . It was average .
769,"OLD HIPPIES never die , they just take a trip ."
770,"I finally found a spotter at the gym , it ' s like a huge weight has been lifted off my shoulders ."
771,"If you trust before you try , you may repent before you die ."
772,Tit for tat .
773,Shepherds sometimes have staff meetings .
774,After having a knee dislocated and an elbow fractured in two barroom brawls Bradley should have learned to stay away from those joints .
775,War is too important to be left to the generals .
776,"No one knows where the shoe pinches , but he who wears it ."
777,"OLD AIR CONDITIONER REPAIRMEN never die , they just lose their cool ."
778,To be a successful frequent flier you need a lot of connections .
779,What do they call all that lumber on the Star Trek ' s Enterprise ? Captain ' s log .
780,""" Ummm , trouble with grammar have I ? Yes ! "" - - Yoda"
781,PRESS To test . < click > RELEASE to detonate .
782,After Gus gave his girlfriend a 3 dollar box of chocolates for her birthday he got nothing but snickers .
783,I ' ll hear it from the horse ' s mouth .
784,"Did you hear about the bivalve they called in to interrogate for that big murder investigation ? Apparently , he ' s clammed up ."
785,Don ' t make clothes for a not yet born baby .
786,"At a conference , I unexpectedly encountered the wife of a former client , whom I hadn ' t seen in 20 or more years . ' ' You haven ' t changed ! ' ' she exclaimed . ' ' There ' s plenty of time for that , ' ' I replied . ' ' The dinner isn ' t until this evening . ' '"
787,Changing a tire on that crazy Houston freeway was a wrenching experience .
788,Two podiatrists became arch rivals .
789,"A husband and wife argued over the weather , but it soon blew over ."
790,I needed a raise in my allowance . Mowing the grass all summer just wasn ' t cutting it .
791,I think Santa has riverfront property in Brazil . All our presents came from Amazon this year .
792,Husbands are like fires . They go out when unattended .
793,Success is just a matter of luck . Ask any failure .
794,Counsel is no command .
795,A manufacturer that made lamps gave their employees a light workload .
796,The boughs that bear most hang lowest .
797,A jerk present in a group indicates a jerk in charge .
798,If towels could tell jokes they would probably have a dry sense of humor .
799,An office with many people and few electrical outlets could be in for a power struggle .
800,A man ' s best fortune or his worst is a wife .
801,Vinyl records are really groovy .
802,"If anything can go wrong , it will ."
803,"Before a plumber retired , he took the final plunge ."
804,"Firefighters can rescue you , but only Jesus saves ."
805,Faraday was charged up with the idea .
806,An unusual medical book is one which has no appendix .
807,A tire store loves a chance to Roll out a new product .
808,If Version 1 . 0 works someone goofed . . .
809,If you break a string on your guitar don ' t Fret .
810,"After he bought his two - year - old a felt pen , he was a marked man ."
811,"OLD CARTOONISTS never die , they just draw their last breath ."
812,The best place for criticism is in front of your mirror .
813,"The plums for sale dried out , so the profits were pruned ."
814,When a duck is feeling down he might just be happy .
815,A picture is worth a thousand words .
816,This is the best guy I ' ve met to date .
817,Half a loaf is better than no bread .
818,"Waiter , I ' ll have my bill now . - How did you find your steak , sir ? - Oh , I just moved the potato and there it was ."
819,"Elephants will toil all day , and they work for peanuts ."
820,"OLD AUDITORS never die , they just lose their figures ."
821,Iron sharpens iron .
822,A new broome sweepeth cleane .
823,"Take my advice , I don ' t use it anyway ."
824,The other day I saw a magician walk down the street and turn into a drugstore .
825,You can catch more flies with a drop of honey than with a barrel of vinegar .
826,The world is your oyster .
827,"The racers all had shorts on that were too small for them , so it was a tight race ."
828,"She was only a Convict ' s daughter , but she sure knew all of the bars ."
829,Better late than never .
830,Life is a game . Money is how we keep score .
831,"Why did CNN cancel that cool "" Desert Storm "" show ?"
832,"Some clockmakers are normal , but others are a little cuckoo ."
833,They called him the king of the dentists because he specialized in crowns .
834,A man stole a case of soap from the corner store . The police said he made a clean getaway .
835,News of a coming flood was leaked .
836,The voice of the people is the voice of god .
837,She became a telephone operator because it was her calling .
838,Keyboard not connected . Think F1 to continue .
839,If you snooze you lose .
840,The politician is not one for Indian food . But he ' s good at currying favors .
841,You can ' t see the wood for the trees .
842,"If you are what you eat , I ' m staying away from the nuts !"
843,My name is Clay . I make pottery .
844,One of these new shoes isn ' t right .
845,Don ' t judge a book by its cover .
846,"Doctor , Doctor , I can ' t get to sleep . - Sit on the edge of the bed and you ' ll soon drop off . Next ."
847,"I went to the dentist without lunch , and he gave me a plate ."
848,Truth is stranger than fiction .
849,To our sweethearts and wives . May they never meet !
850,OLD JANITORS never die they just get swept up .
851,The massage which came with the spa treatment was a nice touch .
852,"OLD SHOE SHINE BOYS never die , they are just rebuffed . ."
853,Here is how the track meet is going to run . . .
854,How do I handle change ? I put it in the parking meter .
855,"I ' ve never taken an elevator to the basement floor , that ' s just beneath me ."
856,I ' ve never killed a deer before but I ' ll take a shot at it .
857,Hands in Prayer : Already Digital
858,Life imitates art .
859,Diabetics should not be allowed to have sweet dreams .
860,I ' m going to the guillotine at dawn and my wife has already collected my severance pay .
861,"After 5 years with the same chiropractor , I moved and had to change doctors . It was quite an adjustment ."
862,We ' re expecting fallout from the recent layoffs at the nuclear plant .
863,A scientist doing a large experiment with liquid chemicals was trying to solve a problem when he fell in and became part of the solution .
864,"It ' s the Borg ! ! Quick , everyone try to look useless !"
865,I got a great bargain the other day when I bought a forklift for half - price . It ' s amazing what you can pick up these days .
866,"Professionals built the Titanic , amateurs built the ark ."
867,"' ' I just came in through the door , ' ' said Tom , entranced ."
868,"If the shoe fits , wear it ."
869,"Dutch shoes used to be made in a factory machine , until it got clogged up ."
870,The inventor of a hay baling machine made a bundle .
871,"Even if you ' re on the right track , you ' ll get run over if you just sit there ."
872,When the investor came home from work he was spent .
873,"We are born crying , live complaining , die disappointed"
874,"Courage lost , all lost ."
875,"Old electricians never die , they just keep plugging away ."
876,"OLD GARDENERS never die , they just get uprooted ."
877,The science teachers broke up because there was no chemistry between them .
878,Resist everything but temptation .
879,Eavesdroppers hear no good of themselves .
880,How do you find a missing train ? Follow the tracks .
881,My name is Brandy . The bartender .
882,It ain ' t over till it ' s over .
883,My name is Ham . I raise pigs
884,Ohm resisted the idea at first .
885,The personal trainer quit his job because it wasn ' t working out .
886,"A man of words and not of deeds , is like a garden full of weeds ."
887,The math professor went crazy with the blackboard . He did a number on it .
888,"Madame : ' ' Now remember , girls , when handling royalty the important thing is to keep up your dukes ! ' '"
889,Do you ever get tired of sleeping ?
890,I was in a big hurry so I scrambled to make eggs for breakfast .
891,There is no royal road to learning .
892,People who live in glass houses shouldn ' t throw stones .
893,Bathroom scale : Something you stand on and swear at .
894,"I had some back trouble , but it ' s all behind me now ."
895,"Daddy , how come my magnet won ' t pick up these disks ?"
896,"Just after thimbles were invented there was a shortage , so many people got stuck without one ."
897,Badminton players are for the birds .
898,Gotta run . . . the cat ' s caught in the printer again !
899,The untruthful deli clerk was full of baloney .
900,When neon lights were perfected the inventor was positively glowing .
901,My name is Sue . I ' m also a lawyer .
902,The manufacturers of dynamite do a booming business .
903,"In the house of the hanged man , mention not the rope ."
904,He who does not advance goes backwards .
905,Gardeners like to plant their feet firmly .
906,One grasshopper told another about eating corn . It went in one ear and out the other .
907,Did you hear about the guy who planted bullets ? He wanted to see a lot of little shoots .
908,Call me if you need my phone number !
909,Pompous male bees are often known to drone on about themselves .
910,"The parsley farmer couldn ' t pay his child support , so the courts garnished his wages ."
911,She started a new courier business for an express purpose .
912,She always paints night scenes . Other artists pale by comparison .
913,Some people like raw meat on rare occasions .
914,"To a person who is attentive to minutiae : ' ' You ' re certainly observant , even if you ' re not religious . ' '"
915,An Electrician ' s work is well grounded .
916,When he found out that he would visit a real blacksmith he got all fired up .
917,"The scorpion said to the desert , ' You know , our conversations are always so dry . '"
918,"Measure twice , cut once ."
919,An argument at the Bomb Squad convention ended in a blowup .
920,What you see is what you get .
921,"After a day of changing her triplet ' s diapers , the new mother was feeling rather pooped ."
922,You ' ve got more issues than Time magazine .
923,Saw makers losing money have to make lots of cuts .
924,When longshoremen show up late for work they get docked .
925,"OLD EXORCISTS never die , they just get repossessed ."
926,"Lead me not into temptation , I can find my own way"
927,"Doctor , doctor , I think I ' m a bridge . - What ' s come over you ? - Two cars , a truck and a coach ."
928,"She was only a Electrician ' s daughter , but she went haywire ."
929,People tell me I ' m indecisive . Am I ? I ' m not sure .
930,Don ' t be sexist ! Chicks hate that .
931,"And on the seventh day , He took an aspirin ."
932,"Brag is a good dog , but holdfast is better ."
933,"OLD MEDIUMS never die , they just lose their spirits ."
934,There is no little enemy .
935,This just in : Research causes cancer in rats !
936,"I used to be afraid of purchasing residential property for the purpose of renting , but now I have an apartment complex ."
937,"OLD LUMBERJACKS never die , they just split ."
938,Martians welcome . We have space for everyone .
939,"It ' s not that the man did not know how to juggle , he just didn ' t have the balls to do it ."
940,A small boy swallowed some coins and was taken to a hospital . When his grandmother telephoned to ask how he was a nurse said ' No change yet ' .
941,"OLD SWIMMERS never die , they just have a stroke ."
942,The landscaper thought gardening magazines were fun to leaf through .
943,There ' s more than one way to skin a cat .
944,"She was only a Bricklayer ' s daughter , but she was certainly stacked ."
945,A boy saving up for a car has a lot of driving ambition .
946,Don ' t burn the candle at both ends .
947,My name is Dean A college chancellor
948,"When I commented on a friend ' s psychedelic door he said , Don ' t Knock It ."
949,There ' s no such thing as a free lunch .
950,""" I ' d like to buy a schwa , Pat . """
951,Virginity IS curable if detected early . . .
952,Practice what you preach .
953,The fish missed the call because he was stuck on the other line .
954,"OLD CONTORTIONISTS never die , they just meet their end ."
955,"No bungee cords , but we encourage leaps of faith ."
956,"My friend came around for dinner . We ate for 20 minutes , then he fainted again ."
957,My friend ' s bakery burned down last night . Now his business is toast .
958,"I can do an excellent impression of Sinatra , said Tom , being perfectly frank ."
959,The roulette dealer had a unique personality . He had a different spin on everything .
960,He was able to listen to his favorite radio show in the morning because he had an AM radio
961,"She was only a Doctor ' s daughter , but she really knew how to operate ."
962,Failure is the stepping stone for success .
963,Musicians need a leader because they don ' t know how to conduct themselves .
964,Women who seek to be equal to men lack ambition .
965,After the six campers were discovered missing from their tents the state police began to canvas the area .
966,"No pain , no gain ."
967,Jumping to conclusions is bad exercise
968,An accountant for a restaurant has to be sure the books are not cooked .
969,OLD MUFFLERS never die they just get exhausted .
970,"If you’re looking for a sign from god , this is it ."
971,"OLD HIKERS never die , they just trail away ."
972,People who make necklaces may get beady eyes .
973,A skier retired because he was going downhill .
974,There is no tree but bears some fruit .
975,"Doctor , Doctor I feel like a pair of curtains - Well pull yourself together then . Next ."
976,"The gravity was so powerful , I couldn ' t stand it ."
977,My name is Pat . I am a masseur
978,"I can ' t remember ever getting nits as a kid , although I do have a lousy memory ."
979,"Dear Santa , all I want is your list of naughty girls ."
980,"I knew a woman who owned a taser , man was she stunning !"
981,People only throw stones at trees with fruit on them .
982,The thought of having no alternative to soap never washed with the inventor of shower gel .
983,Did you hear about the man who was jabbed in the back with a set of keys ? His back locked up .
984,"OLD INTERPRETERS (for the deaf) never die , they just sign off ."
985,Fear the man of one book .
986,The dairy farmer while milking his cow strained his calf in the process .
987,He was a janitor in the restaurant . He did things under the table .
988,"If you think guests really enjoy your home movies , you are probably projecting ."
989,Just because pews come in rows doesn’t mean we should plant ourselves there
990,My father ' s father wanted to know if he could stay with the company in spite of the many changes . They ended up grandfathering him in .
991,Getting this job managing a country estate has put me off fried eggs . I ' m a gamekeeper turned poacher .
992,"I wanted to have dinner at a native American themed restaurant , but I didn ' t have reservations ."
993,Why did the termites eat the wooden barrel ? To stave off hunger .
994,"She was only a Rancher ' s daughter , but she couldn ' t keep her calves together ."
995,The intelligent entrepreneur ' s idea for designing catapults meant that his boss was completely thrown .
996,Children are uncertain comforts but certain cares .
997,"A boy told his parents he wanted to raise goats for a living , but he was only kidding ."
998,"A guy went to a costume party dressed as a knife , and he really looked sharp ."
999,There are 2 kinds of people : pessimists and fools . . . .
1000,It ain ' t over till the fat lady sings .
1001,"OLD SEAMSTRESSES never die , they just come to the point ."
1002,Tip : Never take a beer to a job interview .
1003,Thieves who steal corn from a garden could be charged with stalking .
1004,It wasn ' t my fault your wife wandered into my house !
1005,"Old school principals never die , they just lose their faculties ."
1006,A hole has been found in the nudist camp wall . The police are looking into it .
1007,The boxer ' s girlfriend was a knockout .
1008,A pirate with one hand often picked up the phone . He wanted to get off the hook .
1009,After he bought a mirror he became very reflective .
1010,Tagline dispenser temporarily out of order .
1011,A dentist with a toothache could have a bad impact on his patients .
1012,Plumbers often have to tap their natural abilities .
1013,"He threw snow in his neighbor ' s driveway and shouted , DO YOU GET MY DRIFT ?"
1014,"Old colanders never die , they just can ' t take the strain anymore ."
1015,A prisoner ' s favorite punctuation mark is the period . It marks the end of his sentence .
1016,"The fence builders were upset with their working conditions , so the started to picket ."
1017,"If your waiting for something to turn up , try your sleeves ."
1018,He stomped on his old watch because he had time to kill .
1019,Those who make sponges get very absorbed in their work .
1020,As confused as a baby at a topless bar .
1021,OLD BOWLERS never die they just end up in the gutter .
1022,Hell’s the pits
1023,"OLD ELECTRICIANS never die , they just can ' t make connections"
1024,"When the butter melted , it was rendered useless ."
1025,Q : What do you call six blondes placed ear to ear ? A : A wind tunnel .
1026,"The airlines have become so cash - strapped , they charged me for my emotional baggage ."
1027,The cosmetic student was sick on the day of the final exam . Now she has to take a Make Up exam .
1028,An apple a day keeps the doctor away .
1029,Q : River Ravi flows in which state ? A : Liquid .
1030,"OLD NEWSPAPER PUBLISHERS never die , they just lose their circulation ."
1031,A leak in the back of a boat is a stern warning .
1032,Hell is full . The damned are now in Tech Support .
1033,A politician decided to resign on the day of an eclipse because it was a dark day .
1034,When the beekeeper moved into town he created quite a buzz .
1035,"' ' This movie will be very popular , ' ' Tom projected ."
1036,OLD POLICEMEN never die they just cop out .
1037,"I ' d love to , but I ' m observing National Apathy Week ."
1038,OLD HUMAN CANNONBALLS never die they just get fired .
1039,OLD PHOTOGRAPHERS never die they just stop developing .
1040,The best is cheapest .
1041,Edison thought it would be an illuminating experience .
1042,The best place for a mathematician is behind a counter .
1043,I was struggling to figure out how lightning works then it struck me .
1044,"The man found something to catch fish , which was a net gain ."
1045,"Quick at meat , quick at work ."
1046,"She was only a Librarian ' s daughter , but she was checked out from cover to cover ."
1047,Basketball players are always bouncing ideas off each other .
1048,Some business graphs are full of legend .
1049,Tennis players don ' t marry because Love means Nothing to them .
1050,"John Hancock didn ' t retire , he just resigned ."
1051,I ' ve planted part of a riding whip . I ' m hoping for a nice crop .
1052,' Coming ready or not ! ’ – Jesus .
1053,The seed company turfed out my idea for ready made lawn .
1054,I hate it when motorcyclists hog the road .
1055,"An old lady once asked the dispatcher of a local trucking company if they could ship an antique mirror to her sister in Toronto . The dispatcher says , ' I don ' t know madam , I ' d have to look into it first ' ."
1056,"OLD TREE SURGEONS never die , they just pine away ."
1057,"My mailman should be a comedian , his delivery is perfect !"
1058,Beggars can ' t be choosers .
1059,"If a judge loves the sound of his own voice , expect a long sentence ."
1060,Two monocles were making love in front of a window and made spectacles of themselves .
1061,Whenever I go near my bank I get withdrawal symptoms .
1062,For a chronically absent employee : It seemed her career was just taking off .
1063,"No Credit , Bad Credit ? No Problem . No Money ? Problem ."
1064,A rock band set up on the exchange floor . They wanted to play the stock market .
1065,Back when the news was written on clay tablets there was a lot of breaking news .
1066,When there ' s a sale on tennis balls it ' s first come first serve .
1067,My job as head chef at a top rated restaurant is in jeopardy because my latest culinary creation was called a recipe for disaster .
1068,"She was always calling for her twins , ' ' on the double . ' '"
1069,Strike while the iron is hot .
1070,"She was only a Flag - waver ' s daughter , but she ' d let her standards down for anyone ."
1071,"When the thief fell in the wet cement and broke both legs , he became a hardened criminal ."
1072,I was fired from my job selling amplifiers . I didn ' t achieve the sufficient volume of sales .
1073,Did you hear about the compulsive fisherman ? He was really hooked on it .
1074,Nothing succeeds like success .
1075,"If a job is worth doing , it is worth doing well ."
1076,Sign at a deer crossing : The Buck Stops Here .
1077,The unveiling of the statue was a monumental occasion .
1078,You won ' t often catch loggers or farmers going against the grain .
1079,"My name is Charity , a televangelist"
1080,It ' s hard for a depressed turtle to get out of his shell .
1081,An apple farmer with poor yields has to get to the core of the problem .
1082,"As soon as the airplane was invented , things were looking up ."
1083,An astronomy column in the newspaper would have a lot of space devoted to it .
1084,"When the plane hit turbulence , the passengers went flying ."
1085,"Gravity , it ' s always putting everyone down ."
1086,All are not friends who speak one fair .
1087,My name is Mark . I price items at the supermarket .
1088,A book is a friend .
1089,Did you hear about that new drug that makes people angry ? It ' s all the rage now .
1090,Honor your mother and father rather than major credit cards .
1091,"She memorized just what kind of locket she wanted , by heart ."
1092,He was a Red Cross donor until he went out of circulation .
1093,Philosophy : unintelligible answers to insoluble problems
1094,""" A newspaper is a collection of half - injustices """
1095,There is no such thing as bravery ; only degrees of fear .
1096,Florida bumper sticker : DON ' T SHOOT ! I ' M LOCAL !
1097,"Keep your friends close , but your enemies closer ."
1098,A chain is only as strong as its weakest link .
1099,She wanted to be a weaver but there were always too many snags .
1100,Eve showed up one morning wearing flowers instead of a fig leaf . She was the first woman to wear bloomers .
1101,The dermatologist was an avid gardener but he had a problem with moles .
1102,A dog who played baseball always got walked .
1103,"Great beer bellies are made , not born ."
1104,Making gloves is a real hands - on experience .
1105,Reason does not come before years .
1106,"If you breathe heavily on the map , it will reveal topography , ' he said , with a sigh of relief ."
1107,"It is not what you say , it is the way you say it ."
1108,Alergy sufferers are itching to get through the hay fever season .
1109,"OLD AUTO MECHANICS never die , they just retire ."
1110,I still miss my ex - husband . But my aim is improving .
1111,OLD WHEELS never die they just get retired .
1112,The building inspector said whoever installed the water pipes was plumb loco .
1113,Geology class is the foundation of a decent education .
1114,"It said "" Insert disk # 3 "" , but only 2 will fit !"
1115,"She was only a Dentist ' s daughter , but everybody wanted to fill her cavity ."
1116,Sin enough and you will become dead to it .
1117,"Limit Congress to 2 terms : one in office , one in jail !"
1118,"I walked past a gang of youths yesterday and one of them threw a piece of cheese at me , which hit me on the back of the head . I turned round and shouted , ' ' That ' s not very mature ! ' '"
1119,The state police highway officer worked tirelessly in the heavy rain to assist a lady whose car was stuck in a ditch . He was a real trooper .
1120,Bitter pills may have blessed effects .
1121,My coach got stung by a bee . The next day he had hives .
1122,My friend asked me to carve a sculpture out of a large rock . It was the hardest thing I ' ve ever had to make !
1123,"Old accountants never die , they just lose their balance ."
1124,They who would be young when they are old must be old when they are young .
1125,During branding cowboys have sore calves .
1126,"The math professor liked even numbers , but only the odd one ."
1127,That new mystery novel has a killer start to it .
1128,A fool with a tool is a well - equipped fool
1129,I ' ve been to the dentist several times so I know the drill .
1130,"I idiot - proof my programs , but along comes a bigger idiot ."
1131,A gardener who moved back to his home town rediscovered his roots .
1132,Ampere was worried he wasn ' t up to current research .
1133,"She was only a Bottlemaker ' s daughter , but nothing could stop her ."
1134,Our country ' s olympic swimming program has quite a talent pool .
1135,There was a guy who was fired from the orange juice factory for lack of concentration .
1136,Cobblers children are worst shod .
1137,"Follow glory and it will flee , flee glory and it will follow thee ."
1138,"She was only a Photographer ' s daughter , but she was really developed ."
1139,Two geologists were staring at a huge fissure in a cliff face and one was overheard to say ' It ' s not my fault ' .
1140,"When the electrican apprentice made mistakes , his mother grounded him ."
1141,Cats are smarter than dogs . . . You won ' t see eight cats pulling a sled .
1142,VanDeGraaf charged his assistant to attend .
1143,"Harry and Clem the carpenters , argued mightily on how best to complete the dinette set they were working on . They finally agreed to table the discussion ."
1144,""" Very funny , Scotty . Now beam up my clothes . """
1145,"A Crucifix ? Oy vey , have YOU got the wrong vampire . . ."
