text	detection
You can ' t have an omelette unless you break the egg .	0
If all goes well , you ' ve overlooked something !	0
The boy had never played basketball before so he decided to give it a shot .	1
If you can ' t buy a person , you can always sell him .	1
Grasp all , lose all .	0
I went to an invisible fairground but didn ' t think it was very good . I just couldn ' t see the attraction .	0
Age and treachery can always overcome youth and skill .	0
Cats remind us that not everything in Nature has purpose .	0
A racehorse ' s life is always on track .	1
When I was a kid I wanted to be a brain surgeon . But apparently I was too young .	0
She always paints night scenes . Other artists pale by comparison .	1
My friend is very paranoid . He says people are either foe him or against him .	0
I really do have a photographic memory - - I just haven ' t developed it yet .	1
God works in mysterious ways .	0
He had trouble in his new job making tents and got himself into a flap .	1
The hotel chef was noted for his tomfoolery and his capers .	1
Old tanners never die they just go into hiding .	1
The two bowlers bore a striking resemblance .	1
Two florists got married . It was an arranged marriage .	1
To test a man ' s character , give him power .	0
We ' re all sitting in the same boat : I fish , you row .	0
A small boy swallowed some coins and was taken to a hospital . When his grandmother telephoned to ask how he was a nurse said ' No change yet ' .	1
Army dentists make a good drill corps .	1
Roentgen was radiating .	1
An elephant ' s opinion carries a lot of weight .	1
Willful waste makes woeful want .	0
Lightning storms can be very striking .	1
What you sow is what you reap .	0
Two referees went head to head because they had a score to settle .	1
The corner of Ninth and Broad attracts a lot of the homeless because of its reputation for having a grate area for sleeping	0
Suicidal twin kills sister by mistake . . . news at 11 !	0
They argued about their vacation and finally stayed at the last resort .	1
Did you hear about the crab in financial difficulty ? It was starting to feel the pinch .	1
 ' Pretend we were in the days before railways , ' ' David coached .	1
Some cooks have a shellfish attitude .	0
I don ' t have an attitude problem . You have a perception problem .	0
My other vehicle is a Galaxy Class Starship	0
Volta was electrified .	0
I ' m taking this ship back into harbor ,Richardreported .	0
Children are uncertain comforts but certain cares .	0
Elevators go down and down and down and down .	0
Molecules boiling points vary to some degree .	1
As usual , the chief meteorologist blustered his way through the staff meeting .	1
When a priest makes a mistake in church it ' s a clerical error .	1
Should we tell the children when we move ?	0
The boy swallowed a pillow , the hospital described his condition as comfortable .	0
I like the latest horror movie so much that I ' ve arranged a private screaming .	0
Early nuclear experimenters discovered an element of surprise .	1
The most expensive component is the one that breaks .	0
That ' s a cool chair . Yeah , I know , it rocks .	1
Husbands are like fires . They go out when unattended .	1
Insect puns really bug me .	1
If word processing a presentation about guns - - be sure to know how to use bullets .	1
My friend gave me a book about puns for my birthday and I loved it . It was two meaningful .	0
He was almost persuaded to invest in a poultry farm , but chickened out at the last minute .	1
Pick your friends , but not to pieces	1
Police can do a search if it ' s warranted .	1
Be true to your teeth , or they will be false to you .	1
Jane is a fireman ' s cousin , but she ' s really going to blazes .	1
My uncle developed a strange vulgar habit . He would only cuss when he ' d eat chicken . The doctor said he has seen this happen in some cases . Too much chicken can produce a fowl mouth .	0
The science teachers broke up because there was no chemistry between them .	1
My wife really likes to make pottery , but to me it ' s just kiln time .	0
I once knew a guy who had fish and chips every day for a year . His stomach took a battering .	1
When a thief stole several volumes from the library he was quickly booked .	1
"Stewardess trainee : "" Where does THIS door gooooooooooooo . . . . """	0
Here is how the track meet is going to run . . .	1
My dog often used to chase people he saw on a bike . It got so bad , I finally had to take his bike away .	0
Peter went overboard for the lord , why can ' t we .	0
There was a sign on the lawn at a drug re - hab center that said ' Keep off the Grass ' .	1
I got a small ticket for speeding . It ' s fine with me .	1
She became an art dealer because she wanted more Monet .	0
This is the best guy I ' ve met to date .	1
I , for one , like Roman numerals .	0
The Biomedical Engineer didn ' t have the heart to check the EKG machine .	1
The only free cheese is in the mouse trap .	0
She was only a Gardener ' s daughter , but she knows all the rakes .	1
Driving on so many turnpikes was taking its toll .	1
I ' ll glue the sheets of wood back together , Jones replied .	0
Lunatic asylum : where optimism most flourishes .	0
It ' s amazing what two or more sinners can achieve together with synergy .	0
Faint heart never won fair lady .	0
You are now entering a School Free Drug Zone .	0
When video arcades switched to a system of tokens , there was no quarter asked or given .	0
My mailman should be a comedian , his delivery is perfect !	1
A butcher was trying so hard to be funny , but he just wasn ' t making the cut .	1
The case against a donut thief was full of holes .	1
Digging a hole for a coffin is a grave matter .	1
Well drilling is a deep subject .	1
I needed a raise in my allowance . Mowing the grass all summer just wasn ' t cutting it .	1
War is too important to be left to the generals .	0
My daughter ' s studying natural medicine and I ' m rooting for her .	1
My son identifies as a crescent moon . I ' m worried , but my wife says it 's just a phase .	1
Dogs wags their tails , not as much to you as to your bread .	0
The melody kept on playing until it became a strain .	1
The best place for a mathematician is behind a counter .	1
Honor your mother and father rather than major credit cards .	0
The date of the marathon was changed . She took it in stride .	1
I just got back from a statistical probability conference . It was average .	1
In his free time , my son in college hunts deer and sells the meat . He says the doe helps him with his expenses .	0
To draw cartoons for a living requires someone who is very animated .	1
You can ' t have your cake and eat it too .	0
Choose a wife rather by your ear than your eye .	0
OLD SCULPTORS never die they just lose their marbles .	0
How do spacemen add more protein to their diet ? They make it meteor .	0
We spent all day debating about housefires . It was quite a heated argument .	1
An ounce of discretion is worth a pound of wit .	0
On TV it ' s a maze of channels , luckily he had a guide .	1
It is the early bird that gets the worm .	0
The trapeze artist had to buy his own safety equipment . Every Friday he drew his net wages .	1
For meat some people eat lamb and mutton else .	0
During a tennis match one player gave the other a backhanded compliment .	1
Anyone should know how to put a saddle on a horse so it won ' t slip and cause an injury . It ' s a cinch .	1
She was suspected of stealing a brooch but they couldn ' t pin it on her .	1
Comedians , the biggest joke going .	0
OLD SAILORS never get down , they just lose their porpoise .	0
Hire teenagers while they still know everything .	0
If at first you do succeed , try not to look too astonished .	0
A pop singer bought a new house for a song .	0
And on the seventh day , He took an aspirin .	0
Brag is a good dog , but holdfast is better .	0
People in the desert have dry humor .	1
For a long time , black holes were a dark secret .	1
Did you hear about these new reversible jackets ? I ' m excited to see how they turn out .	1
The inept mathematician couldn ' t count on his friends .	1
He was facinated by his new welding job . It was riveting .	1
The sheep robber was caught on the lamb .	0
Computers make very fast , very efficient mistakes .	0
I know road rage is an awful thing but when someone bumped my car I just couldn ' t help it . I got out my camera and snapped at the offender .	1
When they bought a water bed , the couple started to drift apart .	1
Be the soul supporter of your children .	0
At first I hated my haircut , but now it ' s growing on me .	1
Old miners never die , they just lose their veins .	0
What you seize is what you get .	0
My name is Rusty , I ' m an iron worker .	0
In the house of the hanged man , mention not the rope .	0
When the glassblower inhaled he got a pane in the stomach .	0
Once a drunkard always a drunkard .	0
The dairy farmer while milking his cow strained his calf in the process .	1
A skunk fell in the river and stank to the bottom .	0
Don ' t let the perfect become the enemy of the good .	0
Don ' t wash your dirty linen in public .	0
Endorsement by an olympic swimmer caused a company ' s profits to dive .	1
Monday is a hard way to spend 1 / 7 of your life .	0
I ' m glad I know sign language . It ' s pretty handy .	1
At the petting zoo I saw a sheep scratching itself . Turns out it had fleece .	0
The newspaper doesn ' t put in Politics what is Classified .	0
They replaced the baseball with an orange to add zest to the game .	1
The show must go on .	0
He was trying to sell me new windows , but his motivations were transparent .	1
Everything went downhill from there .	0
The correct formula for concrete is worthwhile to cement in your mind .	1
My friend asked me to carve a sculpture out of a large rock . It was the hardest thing I ' ve ever had to make !	1
Pride comes before the fall .	0
Though thou hast ever so many counsellors , yet do not forsake the counsel of thy own soul .	0
Careless stair dancers are heading for a heavy landing .	1
I went out for a run this morning and tripped over , I could have been wearing the wrong size shoes , I haven ' t seen the footage yet .	0
I love Switzerland . I ' m not sure what the best thing about it is , but their flag is a big plus .	0
Antennas aren ' t supposed to be this cheap , right ?	0
WORK HARDER ! . . . Millions on Welfare depend on YOU !	0
Stolen eggs are poached .	1
Archimedes was buoyant at the thought .	1
( A ) bort , ( R ) etry , ( F ) ail , ( G ) rab _ Hammer	0
I ' m not paranoid ! Which of my enemies told you this ?	0
OLD WATCHMAKERS never die , they just wind down .	0
""" And we had to chisel taglines into the walls of the cave . . . . """	0
What it boils down to is this : eggs taste good .	1
The auditor is a fearsome figure .	1
When the butter melted , it was rendered useless .	1
Dwarf on a giant ' s shoulder sees farther of the two .	0
Lose nothing for want of asking .	0
That ' s the seventh dip , Namaan said cleanly .	0
Winning candy as a prize is always a sweet victory .	1
When writing out drink recipes you have to have a first draft .	1
A pair of loud twins were stereo speakers .	1
A woody area shouldn ' t have this many chipmunks .	0
I can cut a piece of wood just by staring at it . It ' s true , I saw it with my own eyes .	1
I can SPELL , I just can ' t TYPE worth a hoot !	0
There ' s no such thing as a free lunch .	0
Elvis Stamps : Where will your mail be spotted next ?	0
To learn rope tricks you have to be taut .	0
The weatherman who forecasted snow in July was a bit of a flake .	1
Trespassers will be shot , survivors will be shot again !	0
Satan can ' t bring you down any farther than your knees .	0
The postmen get together for mail bonding .	0
The grass is always greener on the other side .	0
The family elders have relative importance .	1
A big enough hammer can usually fix anything .	0
I was going to buy a book on phobias , but I was afraid it wouldn ' t help me .	1
Behind every great man is a woman rolling her eyes .	0
When he switched from horses to sailing , his life took on a new tack .	1
He wanted desperately to be a good golfer - you could say he had a driving ambition .	1
Workers in an upholstery business demanded a wage hike to cushion the high cost of living .	1
There was a massive outcry against the plan to build a power line across a nature preserve . The public couldn ' t bear the tension .	1
I ' ve passed the exam this time ,Susanremarked .	1
Fretting cares make grey hairs .	0
If you have to pay to go to the river , we ' d better stop at the bank .	1
Unclean joke : I am covered in mud .	1
"Bush says "" No new taxes ! "" , Clinton says , "" No , NEW taxes ! """	0
Two companies that manufactured rulers decided to align .	1
Tit for tat .	0
Give credit where credit is due .	0
WinError # 01 : Unable to figure out own code . System crashed .	0
Some people think I ' m under the influence of alcohol .	0
He bought a rope factory to tie into his empire .	1
My name is Carol . I sing during the holidays .	1
Some commands given by the army are specific , others are General .	1
I tried to look up impotence on the Internet but nothing came up .	0
Noteworthy musicians are very composed .	1
I had some back trouble , but it ' s all behind me now .	1
Anything not nailed down is a cat toy .	0
She got fired from the hot dog stand for putting her hair in a bun .	1
The Easter story is not a dead issue .	1
The ignorant always adore what they cannot understand .	0
In an office : Would the person who took the step ladder yesterday kindly bring it back or further steps will be taken .	0
Who do you have to sleep with to get service around here ?	0
How do you find a missing train ? Follow the tracks .	1
Can I tell you a story about my bed ? I made it up .	1
The lawyer recovered from his nasty cold .	0
Figure skaters don ' t like to be in a rut .	1
Two monocles were making love in front of a window and made spectacles of themselves .	1
OLD PROGRAMMERS never die , they just move to new addresses .	1
There is no little enemy .	0
The river crested when a factory spilled toothpaste into it .	1
I always believed my body was a prison for me . I was right , in biology I learnt they were made of cells .	1
A woman cries before the wedding , a man after .	0
The photographer makes well developed arguments .	1
Diligent youth makes easy age .	0
Better safe than sorry .	0
My dog has a lot of potential , you just have to unleash it .	1
Why is the word abbreviation so long ?	0
There is only one way to open the door and that is the key .	1
The journalist went to Greece to see the ancient ruins and is now writing several columns about them .	1
The pen is mightier than the sword .	0
A farmer with a rip in his clothes has an overall problem .	1
Three fingers were willing to cooperate but the thumb and forefinger were opposed .	1
You should never take rocks for granite .	0
An idea is not responsible for fools who believe in it .	0
It has been discovered that sales of irons are decreasing .	0
It ' s the Borg ! ! Quick , everyone try to look useless !	0
He ' s dead , Jim . Kick him if you don ' t believe me .	0
Geology class is the foundation of a decent education .	1
Some clockmakers are normal , but others are a little cuckoo .	1
I might study something at a university that someone once told me about - there is a degree of ambiguity there .	1
The fertiliser business is a growing industry .	1
How did the hipster burn his tongue ? He drank coffee before it was cool .	1
Where do they get the seeds to plant seedless watermelons ?	0
A good baker will rise to the occasion , it ' s the yeast he can do .	0
A goat that ate office supplies was on a staple diet .	1
They who would be young when they are old must be old when they are young .	0
Old men retire after sixty .	0
When the beautician was asked to complete her make - up work she blushed .	1
If you work in a bakery you may have to take on many rolls .	0
Many things are lost for want of asking .	0
We must take the bad with the good .	0
Those who iron clothes have a lot of pressing demands .	1
He always called his girlfriend his ' luck ' . Until he decided to push his luck .	0
Old presidents never die they just keep going through their cabinets .	1
If a town ' s people have low IQs is the population dense ?	1
There was a report of shots fired in a local bar . The police don ' t know what triggered the commotion .	1
Doctor , doctor , I keep thinking I ' m a deck of cards . - I ' ll deal with you later . Next !	1
The world is your oyster .	0
Making up puns about the finest soil is the loess form of humor .	0
Even though Catholics in space are weightless , do they have mass ?	1
Seek water in the sea .	0
I couldn ' t decide whether or not to make spiced apple cider , so I mulled it over .	1
The plumber had to quit his job because it was too much of a drain .	1
I learned that the antelopes were coming when I heard the gnus .	0
User : The hardest - to - setup PC peripheral you can buy .	0
The rabbi became a professional golfer in university .	0
Help wanted : telepath . You know where to apply .	0
""" Happiness is a warm puppy , "" said the anaconda ."	0
The royal pharmacist wore a tuxedo and dispensed with formalities .	1
Suicide at sea is definitely going overboard .	1
Don ' t be sexist ! Chicks hate that .	0
Tim is a lousy swimmer , but he knew every dive in town . 	1
It ain ' t over till it ' s over .	0
Hey , wake up ! It ' s time for your sleeping pills .	0
Counsel is no command .	0
My house is really small until I can ' t find my phone.	0
Some mathematicians are reluctant to cosine a loan .	0
I never get lost , just momentarily disoriented .	0
Train engineers chat about everything , their conversations often get derailed .	1
My name is Sherry . I work in a vineyard .	0
I am not 40 , I ' m 18 with 22 years experience	0
Is coffee your daily grind ?	1
911 : Press 1 if robbery . Press 2 if house on fire . Press 3 . . .	0
A tatoo artist has designs on his clients .	1
OLD ELECTRICIANS never die , they just lose their resistance .	0
Why didn ' t the little boy ask the flight attendant for a snack ? He didn ' t have the nuts .	1
The gravity was so powerful , I couldn ' t stand it .	1
People who work at a mint make a lot of money .	1
Tony attempted to join his thin crust pizza company with Zimo ' s Thick Crust Pizza , but somehow it didn ' t pan out .	1
The color of the sun in the early morning : rose .	1
A cross between a puppy and a bunny is a rabid dog .	0
Old logicians never die , they just vacate the premises .	1
You are an example of why some animals eat their young .	0
Hands in Prayer : Already Digital	0
Those who work on reducing auto emissions go home exhausted .	1
We welcome you with open psalms .	0
For greeting card companies their fate is in the cards .	1
Pharmacists find their work to be very encapsulating .	1
Actions are usually right , but the reasons seldom are .	0
Before a plumber retired , he took the final plunge .	1
Don ' t marry for money ; you can borrow it cheaper .	0
Old professors never die , they just lose their class .	0
A sign at a cemetery reads , ' No Trespassing , Violators Will Face Grave Charges ' .	1
If you ' re a gardener you might call yourself a ' plant manager ' .	0
Two clock makers argued and got ticked off .	1
In zen skiing , you learn to become one with the snow .	0
We ' ll never run out of math teachers because they always multiply .	1
Artificial knees and elbows were developed during a joint project .	1
The duck said to the bartender , ' put it on my bill . '	1
In the office she was frantically looking for her false nails only to discover she had filed them away .	1
He that would eat the kernel must crack the nut .	0
Reward for a job well done : more work .	0
A Crucifix ? Oy vey , have YOU got the wrong vampire . . .	0
Reassembling the skeletons of prehistoric mammals can be a mammoth undertaking .	1
Drinking a whole bucket of water could make you turn pail .	0
There is no such thing as bravery ; only degrees of fear .	0
What did the cell that got stepped on by it's sister say ? Mitosis .	0
When the waiter told me they were out of corn I said , ' That really shucks . '	0
Alley cats like to go bowling .	1
When a letter carrier became a hero they called him a deliverer .	1
Old photographers never die , they ' re just out of the picture for a while .	0
I work to buy a car to go to work .	0
I never have understood how you ' re supposed to hit anything with a bat . . . . . it keeps flying away .	0
A civil question deserves a civil answer .	0
Chinese cooks like to wok away from trouble .	0
OLD YACHTSMEN never die , they just keel over .	0
He who lends to the poor gets interest from god	0
Objects under T - Shirt are larger than they appear .	0
The obese editor started a weight redaction program .	0
A friend is best found in adversity .	0
My mom ran out of poultry seasoning so she winged it .	1
Abstinence makes the heart grow fonder .	0
A cardboard belt would be a waist of paper .	0
Massage therapists need a touch of style .	1
My new girlfriend and I are moving together into a tree house , I hope we won ' t fall out .	1
Sign on a music store window : ' Come in and pick out a drum - - then beat it ! '	1
The painter was hospitalized due to too many strokes .	1
Bridge tolls have increased significantly over a 5 year span .	1
Hasty judgment leads to repentance .	0
You ' re the reason the gene pool needs a lifeguard .	1
An apple farmer with poor yields has to get to the core of the problem .	1
A prisoner ' s favorite punctuation mark is the period . It marks the end of his sentence .	1
Better to be alone than in bad company .	0
An apple a day keeps the doctor away .	0
If you leave alphabet soup on the stove and go out , it could spell disaster .	1
Stamp out excessive postage prices .	1
 ' I ' ve run out of wool , ' ' said Nancy , knitting her brow .	1
When priests have a good idea they are supposed to parish the thought .	0
Bitter pills may have blessed effects .	0
The man who fell into an upholstery machine is fully recovered .	0
Birds of a feather flock together .	0
An old spice wholesaler is a seasoned veteran .	1
Once again , Odo wins the Twister championship .	0
With certain cashiers , things are slow to register .	1
The general started bowling before his aide had entered his name on the score sheet . He had launched a pre - emptive strike .	1
A discussion of digging a new mine shaft was too deep for him .	1
The parsley farmer couldn ' t pay his child support , so the courts garnished his wages .	1
The best things in life are free .	0
If you got tired of living , don ' t share your thoughts with all your friends . They might not give you a chance to change your mind .	0
Some people don ' t have the Vegas idea of how to quit gambling .	0
The star asked the sun why the moon was always up so late . Sun responded that it was just a phase .	1
""" I ' m sick ! I ought to be home in bed with a nurse . """	0
OLD FORESTERS never die , they just pine away .	1
A library should have several floors because it is a multi story building .	1
I usually take steps to avoid elevators .	1
Dermatologists often make rash statements .	1
Because of too much stress , the violinist has become unstrung .	1
She became a telephone operator because it was her calling .	1
Great beer bellies are made , not born .	0
Lawyers have to like alcohol because they ' re always being called to the bar .	1
A career is a job that takes about 20 more hours a week .	0
The inventor of shag carpet made a big pile .	1
The Vikings landed during thunder and lightning and took the city by storm .	1
Windows loading . Come back tomorrow .	0
Where does a two dimensional shape live ? A flat .	1
He bent over to pick up a sieve and strained himself .	1
I thought about studying astronomy for university but I knew I would just be taking up space .	1
53 . 7 % of all statistics are totally incorrect	0
Manners maketh the man .	0
Tonight ' s forecast : Dark , scattered light toward dawn .	0
Badminton players are for the birds .	1
Two snakes parted , and one said , ' fangs for the memories ' .	0
A ditch digger was entrenched in his career .	1
Wally wasn ' t sure in which branch of the Army he wanted to serve , but he gravitated toward the paratroops .	1
There are sins of omission as well as of commission .	0
The cat took up computer lessons in hopes of mastering its grip on a mouse .	1
We don ' t read palms ; we wave them .	0
Actors are cast through their good and bad stages .	1
My boss is going to fire the employee with the worst posture . I have a hunch , it might be me .	1
In the novel , there is an unexpected secret meeting of the lovers . It is a plot tryst .	0
' ' Be still my hart ' ' she murmured , thinking how magnificent and stag - like he was .	0
A train load of paint derailed . Nearby businesses were put in the red .	1
Even after retiring , the baker keeps making lots of dough .	1
There is danger in delay .	0
Why did the termites eat the wooden barrel ? To stave off hunger .	1
A blow with a word strikes deeper than a blow with a sword .	0
Send $ 20 and I will double your IQ or no money back	0
A circus lion won ' t eat clowns because they taste funny .	1
Swine were the most influential animal of the last decade .	0
He was a restaurant critic but had no taste .	1
 ' I ' ve got to stop this motor , ' '  Lauren choked .	1
The boy ' s guitar teacher helped him pick up his skills .	1
Love is telling someone to go to hell and worrying about them getting there safely .	0
It ' s uncomfortable when the neighbor ' s kids look like you .	0
He hates his job selling used cars , but it ' s just his lot in life .	1
. . . So simple a child could do it ? Go find me a child !	0
After selling a shipment of salt the salesman said ' let ' s shake on that . '	1
Dogs and birds can be good friends too .	0
The defendant in a coffee theft trial refused to testify on the grounds that could incriminate him .	1
A broken watch is right two times a day .	0
Those who have icicles keep a stiff upper drip .	0
At first he was was a sprinter , but then he decided to run for office .	1
The owner of the hair salon had to make cuts on his staff .	1
Don ' t expect to eat something fancy when you ' re flying because it ' s plane food .	0
Here , you go first , you ' re immune to bullets .	0
A tattle tale pig is a squealer .	1
I ' m dying , Zoey croaked .	0
If Version 1 . 0 works someone goofed . . .	0
I went to buy some property with a hill on it , but it was a little steep .	1
Q : River Ravi flows in which state ? A : Liquid .	0
If you want those ashes , you ' ll have to urn them .	0
They called him the king of the dentists because he specialized in crowns .	1
Set your drink on a skateboard , they make good coasters .	1
A thief who stole a calendar got twelve months .	0
I was going to buy some loose tea , but the price was too steep .	1
Improve your memory by doing unforgettable things .	0
She was only a watchman ' s daughter , but any time suited her .	1
Monkey see , monkey do .	0
When I asked if I could get insurance if the nearby volcano erupted they assured me I would be covered .	1
I went to the store to buy some soup but they were out of stock .	1
Walk softly , carry a big stick .	0
The man brought an umbrella with him into the ice cream store because he heard there was a chance of sprinkles .	1
Be careful what you wish for , you just might get it .	0
Laugh and the world laughs with you , cry and you cry alone .	0
 ' This steamroller is amazing , ' ' said Wendy flatteringly .	0
Proofread carefully to see if you any words out .	0
""" Well done "" is better than "" well said "" ."	0
Old musicians never die they just get played out .	1
Old quilters never die , they just go under cover .	1
Her exam was on the human skeleton , so she decided to bone up .	1
Deep calls to deep .	0
What ' s another word for Thesaurus ?	0
Is fear of sliced bacon irrational ?	0
Chimney sweeping is a hard job that soots me fine .	0
A woman who became queen considered it her crowning achievement .	1
Old guitarists never die , they just fret their lives away	1
It ' s a good horse that never stumbles .	0
LSD : Virtual Reality without all the fancy hardware	0
Why do crabs never share ? Because they ' re shellfish .	0
Where there ' s muck there ' s brass .	0
My wife accused me of not having any empathy . I don ' t understand why she feels that way .	0
Men are like bank accounts . Without a lot of money , they don ' t generate much interest .	1
Fishers often wet their appetite .	0
Why was the rabbit depressed ? He was just going through a bad patch !	1
I ' d love to , but my bathroom tiles need grouting .	0
I wish Noah had swatted those two mosquitoes . . . . .	0
When poker players have to fold they feel a bit discarded .	0
OLD WRITERS never die , they just get erased .	1
A baseball pitcher asked if he had a good curve ball , but wanted a straight answer .	1
A fisherman who was also a pianist was an expert with scales .	1
His day job was astronomy but at night time he was moonlighting .	1
I ' m not afraid of flying , I ' m afraid of crashing .	0
As I revived her using mouth to mouth resuscitation , in spite of my lisp , I couldn ' t help noticing her beautiful breaths !	0
Semaphore was flagged away as a form of communication decades ago .	1
Home is where the heart is .	0
Did you hear about the guy who planted bullets ? He wanted to see a lot of little shoots .	1
OLD CARDIOLOGISTS never die , they just lose heart .	0
The organizational get together for a company football team was called a kickoff meeting .	1
A new batter joined the baseball team , and he was a real hit .	1
Mind your P ' s and Q ' s .	0
In the middle of difficulty lies opportunity .	0
All good things must come to an end .	0
He sold candy and chocolate . A lot of girls were sweet on him .	1
I tried hard to get into vexillology , but , in the end , had to flag it away .	1
The price of the big fan blew me away .	1
A cat may look at a king .	0
He became an astronaut and had a blast .	1
I used to have a fear of hurdles , but I got over it .	1
Only the good die young .	0
A doctor ' s mistakes go six feet under ; a dentist ' s cover an acre .	0
Some people go into martial arts just for kicks .	1
He threw jello at his wife , who had him arrested for carrying a congealed weapon .	0
Sea captains have a lot of latitude .	1
I ' m blind enough to look at the situation in the wrong fashion , so I changed my clothes .	1
I just finished reading Newton ' s Principia Mathematica , and found much of it to be rather derivative .	1
A farmer wanting to kill a chicken for dinner has to move faster than a speeding pullet .	0
A magician was walking down the street and turned into a grocery store .	1
Old gamblers never die , they just get discarded .	0
Doctor , Doctor My little boy has just swallowed a roll of film ! - Hmmmm . Let ' s hope nothing develops . Next .	1
The hardest thing for a person to keep is his opinion	0
Harry and Clem the carpenters , argued mightily on how best to complete the dinette set they were working on . They finally agreed to table the discussion .	1
Doctor , Doctor I feel like a pair of curtains - Well pull yourself together then . Next .	0
Deal gently with the bird you mean to catch .	0
A boxer who wants to get married has the ring to worry about .	1
It was the first time she ' d seen a live sponge on display , and she really soaked it in .	1
She was only a Lighthouse keeper ' s daughter , but she never went out at night	0
Lizards have a very strong heartbeat which can be faintly heard anywhere on their body , said Mr . Johnson , beginning a story . ' ' Come listen to this tail . ' '	0
A bad settlement is better than a good lawsuit .	0
It ' s hard for a depressed turtle to get out of his shell .	1
Put a beggar on horseback and he ' ll ride it to death .	0
How do you get straight A ' s ? By using a ruler .	1
He sat in the magician ' s audience dressed as a cactus . He was a plant .	1
The man found something to catch fish , which was a net gain .	1
Martians welcome . We have space for everyone .	1
Smaller babies may be delivered by stork but the heavier ones need a crane .	1
If I were incredibly rich , I would hire two private investigators , and get them to follow each other .	0
What do dolphins have that no other mammals have ? Baby dolphins .	0
Derringer had one shot at fame .	1
You can ' t see the wood for the trees .	0
How could I trust the ceiling fan installer when I knew he was always screwing up .	1
Practice what you preach .	0
There is rarely a sale on beer because the demand is always high so there ' s no need to create a buzz .	1
Overdrawn ? No way ! I still have checks left !	0
Little by little and bit by bit .	0
She told me the drink was non - alcoholic , but where was the proof ?	1
A politician decided to resign on the day of an eclipse because it was a dark day .	1
How come wrong numbers are never busy ? ? ?	0
The race dogs got a bad case of the fleas - they had to be scratched .	1
Sow thin , shear thin .	0
Continually discovering new viruses can become a strain .	1
Drink coffee ! Do stupid things faster with more energy !	0
If a clock had legs , time would run out .	1
Network management is like trying to herd cats . . .	0
An argument at the Bomb Squad convention ended in a blowup .	1
How do you fix a broken tomato ? With tomato paste .	1
Wade not in unknown waters .	0
A cutlery manufacturing company was built at a fork in the road .	1
The tailor loves telling ironic jokes .	0
No news is good news .	0
Half a loaf is better than no bread .	0
My name is John . I ' m a plumber	0
Don ' t lend people money . It causes amnesia .	0
I love to eat eggs at the crack of dawn .	1
The musician loved drinking and knew all the bars in town .	1
You can catch more flies with a drop of honey than with a barrel of vinegar .	0
Cross river * THEN * insult alligator .	0
The man who impulsively got a cat despite his allergies later realized that it was a rash decision .	1
Being a fire - fighter ignited my interest heavily .	1
Stick em up ! < BANG > Okay . . . . DON ' T stick em ' up !	0
A bank manager who was also a high jumper spent most of his time in the vault .	1
You know the tree by its fruit .	0
The dentist ' s alibi was full of holes , so the police performed a cavity search .	1
The chickens were distraught when the tornado destroyed their home . Hopefully they will be able to recoup .	0
The tongue weighs very little , but few people can hold it .	1
Good swimmers are often drowned .	0
Professionals built the Titanic , amateurs built the ark .	0
Bathroom scale : Something you stand on and swear at .	0
Old chemists never die , they just stop reacting .	1
The janitor ' s union called for sweeping reforms .	1
Take things as you find them .	0
The untruthful deli clerk was full of baloney .	1
People who live in glass houses shouldn ' t throw stones .	0
When the branding iron was invented cattle were very impressed .	0
A friend told me he dug a hole in my backyard and filled it with water . I thought he meant well .	1
He stared at his belly button so much , he was promoted to navel officer .	0
Tip : Never take a beer to a job interview .	0
What would you call Superman if he was a thief ? Man of Steal .	0
He stole an invention and then told patent lies .	1
The stock market crashes , but Viagra beats the flop .	0
If you want a thing done right , do it yourself .	0
If it ' s obvious , it ' s obviously wrong .	0
I ' d love to change the world . . . if I can get the source code .	0
My other computer runs the Enterprise .	0
Two cheerleaders got married after they met by chants .	0
A man given a watch at his retirement said ' it ' s about time ' .	1
OLD ORGANISTS never die , they just come to a stop .	0
I always had wanted to know how ships really worked , and now I finally was going to sea .	0
Old statisticians never die , they just get broken down by age , sex and marital status .	0
I majored in nursing but I had to drop it because I ran out of milk .	1
"Press any key to continue . . But my computer doesn ' t have an "" any "" key ."	0
Old electricians never die they just lose contact .	0
 ' Use your own toothbrush ! ' 'Jasonbristled .	1
When the shoe store owner discovered that someone had broken into his store , the police pumped him for information .	1
The railway constructions are on track .	1
A doctor who became a bartender was always giving out shots !	1
All humans are automatically born with a shopping disorder	0
My job is secure . No one else wants it .	0
Acupuncture is a jab well done .	0
My new expensive vacuum cleaner really sucked .	1
Dear Santa , all I want is your list of naughty boys .	0
If a horse could predict the weather , it would probably say that the weather is stable .	1
The mortician was late for dinner because he was buried in his work .	1
In the dark ? Follow the son .	0
Where ignorance is bliss , ' tis folly to be wise .	0
The members of the oldest profession are not really lost women ; they are just mislaid .	0
Can honeybee abuse lead to a sting operation ?	1
My name is Cookie , I ' m a baker .	0
A reporter was at an ice cream store getting the scoop .	1
Still water runs deep .	0
At a conference , I unexpectedly encountered the wife of a former client , whom I hadn ' t seen in 20 or more years . ' ' You haven ' t changed ! ' ' she exclaimed . ' ' There ' s plenty of time for that , ' ' I replied . ' ' The dinner isn ' t until this evening . ' '	1
The mountaineer fell off the cliff and broke his leg .	0
Sin enough and you will become dead to it .	0
A golden bit does not make the horse any better .	0
An accountant for a restaurant has to be sure the books are not cooked .	1
