text	location
I really do have a photographic memory - - I just haven't developed it yet 	15
God works in mysterious ways 	-1
He had trouble in his new job making tents and got himself into a flap 	15
The hotel chef was noted for his tomfoolery and his capers 	11
Old tanners never die they just go into hiding 	9
The two bowlers bore a striking resemblance 	6
Two florists got married  It was an arranged marriage 	9
To test a man's character  give him power 	-1
We're all sitting in the same boat : I fish  you row 	-1
A small boy swallowed some coins and was taken to a hospital  When his grandmother telephoned to ask how he was a nurse said'No change yet'	28
Army dentists make a good drill corps 	6
Roentgen was radiating 	3
An elephant's opinion carries a lot of weight 	10
Willful waste makes woeful want 	-1
Lightning storms can be very striking 	6
What you sow is what you reap 	-1
Two referees went head to head because they had a score to settle 	11
The corner of Ninth and Broad attracts a lot of the homeless because of its reputation for having a grate area for sleeping	-1
Suicidal twin kills sister by mistake    news at 11 	-1
They argued about their vacation and finally stayed at the last resort 	12
Did you hear about the crab in financial difficulty  It was starting to feel the pinch 	18
'Pretend we were in the days before railways  David coached 	15
Some cooks have a shellfish attitude 	-1
I don't have an attitude problem  You have a perception problem 	-1
My other vehicle is a Galaxy Class Starship	-1
Volta was electrified 	-1
I'm taking this ship back into harbor Richardreported 	-1
Children are uncertain comforts but certain cares 	-1
Elevators go down and down and down and down 	-1
Molecules boiling points vary to some degree 	11
As usual  the chief meteorologist blustered his way through the staff meeting 	7
When a priest makes a mistake in church it's a clerical error 	13
Should we tell the children when we move 	-1
The boy swallowed a pillow  the hospital described his condition as comfortable 	-1
I like the latest horror movie so much that I've arranged a private screaming 	-1
Early nuclear experimenters discovered an element of surprise 	6
The most expensive component is the one that breaks 	-1
That's a cool chair  Yeah  I know  it rocks 	14
Husbands are like fires  They go out when unattended 	8
Insect puns really bug me 	4
If word processing a presentation about guns - - be sure to know how to use bullets 	17
My friend gave me a book about puns for my birthday and I loved it  It was two meaningful 	-1
He was almost persuaded to invest in a poultry farm  but chickened out at the last minute 	13
Pick your friends  but not to pieces	1
Police can do a search if it's warranted 	10
Be true to your teeth  or they will be false to you 	11
Jane is a fireman's cousin  but she's really going to blazes 	16
My uncle developed a strange vulgar habit  He would only cuss when he'd eat chicken  The doctor said he has seen this happen in some cases  Too much chicken can produce a fowl mouth 	-1
The science teachers broke up because there was no chemistry between them 	10
My wife really likes to make pottery  but to me it's just kiln time 	-1
I once knew a guy who had fish and chips every day for a year  His stomach took a battering 	21
When a thief stole several volumes from the library he was quickly booked 	13
"Stewardess trainee : "" Where does THIS door gooooooooooooo     """	-1
Here is how the track meet is going to run   	10
My dog often used to chase people he saw on a bike  It got so bad  I finally had to take his bike away 	-1
Peter went overboard for the lord  why can't we 	-1
There was a sign on the lawn at a drug re - hab center that said'Keep off the Grass'	21
I got a small ticket for speeding  It's fine with me 	12
She became an art dealer because she wanted more Monet 	-1
This is the best guy I've met to date 	11
I  for one  like Roman numerals 	-1
The Biomedical Engineer didn't have the heart to check the EKG machine 	9
The only free cheese is in the mouse trap 	-1
She was only a Gardener's daughter  but she knows all the rakes 	15
Driving on so many turnpikes was taking its toll 	9
I'll glue the sheets of wood back together  Jones replied 	-1
Lunatic asylum : where optimism most flourishes 	-1
It's amazing what two or more sinners can achieve together with synergy 	-1
Faint heart never won fair lady 	-1
You are now entering a School Free Drug Zone 	-1
When video arcades switched to a system of tokens  there was no quarter asked or given 	-1
My mailman should be a comedian  his delivery is perfect 	9
A butcher was trying so hard to be funny  but he just wasn't making the cut 	19
The case against a donut thief was full of holes 	10
Digging a hole for a coffin is a grave matter 	9
Well drilling is a deep subject 	5
I needed a raise in my allowance  Mowing the grass all summer just wasn't cutting it 	18
War is too important to be left to the generals 	-1
My daughter's studying natural medicine and I'm rooting for her 	12
My son identifies as a crescent moon  I'm worried  but my wife says it 's just a phase 	23
Dogs wags their tails  not as much to you as to your bread 	-1
The melody kept on playing until it became a strain 	10
The best place for a mathematician is behind a counter 	10
Honor your mother and father rather than major credit cards 	-1
The date of the marathon was changed  She took it in stride 	13
I just got back from a statistical probability conference  It was average 	13
In his free time  my son in college hunts deer and sells the meat  He says the doe helps him with his expenses 	-1
To draw cartoons for a living requires someone who is very animated 	12
You can't have your cake and eat it too 	-1
Choose a wife rather by your ear than your eye 	-1
OLD SCULPTORS never die they just lose their marbles 	-1
How do spacemen add more protein to their diet  They make it meteor 	-1
We spent all day debating about housefires  It was quite a heated argument 	13
An ounce of discretion is worth a pound of wit 	-1
On TV it's a maze of channels  luckily he had a guide 	7
It is the early bird that gets the worm 	-1
The trapeze artist had to buy his own safety equipment  Every Friday he drew his net wages 	17
For meat some people eat lamb and mutton else 	-1
During a tennis match one player gave the other a backhanded compliment 	11
Anyone should know how to put a saddle on a horse so it won't slip and cause an injury  It's a cinch 	27
She was suspected of stealing a brooch but they couldn't pin it on her 	13
Comedians  the biggest joke going 	-1
OLD SAILORS never get down  they just lose their porpoise 	-1
Hire teenagers while they still know everything 	-1
If at first you do succeed  try not to look too astonished 	-1
A pop singer bought a new house for a song 	-1
And on the seventh day  He took an aspirin 	-1
Brag is a good dog  but holdfast is better 	-1
People in the desert have dry humor 	6
For a long time  black holes were a dark secret 	10
Did you hear about these new reversible jackets  I'm excited to see how they turn out 	18
The inept mathematician couldn't count on his friends 	7
He was facinated by his new welding job  It was riveting 	12
The sheep robber was caught on the lamb 	-1
Computers make very fast  very efficient mistakes 	-1
I know road rage is an awful thing but when someone bumped my car I just couldn't help it  I got out my camera and snapped at the offender 	29
When they bought a water bed  the couple started to drift apart 	12
Be the soul supporter of your children 	-1
At first I hated my haircut  but now it's growing on me 	13
Old miners never die  they just lose their veins 	-1
What you seize is what you get 	-1
My name is Rusty  I'm an iron worker 	-1
In the house of the hanged man  mention not the rope 	-1
When the glassblower inhaled he got a pane in the stomach 	-1
Once a drunkard always a drunkard 	-1
The dairy farmer while milking his cow strained his calf in the process 	10
A skunk fell in the river and stank to the bottom 	-1
Don't let the perfect become the enemy of the good 	-1
Don't wash your dirty linen in public 	-1
Endorsement by an olympic swimmer caused a company's profits to dive 	13
Monday is a hard way to spend 1 / 7 of your life 	-1
I'm glad I know sign language  It's pretty handy 	14
At the petting zoo I saw a sheep scratching itself  Turns out it had fleece 	-1
The newspaper doesn't put in Politics what is Classified 	-1
They replaced the baseball with an orange to add zest to the game 	10
The show must go on 	-1
He was trying to sell me new windows  but his motivations were transparent 	14
Everything went downhill from there 	-1
The correct formula for concrete is worthwhile to cement in your mind 	9
My friend asked me to carve a sculpture out of a large rock  It was the hardest thing I've ever had to make 	18
Pride comes before the fall 	-1
Though thou hast ever so many counsellors  yet do not forsake the counsel of thy own soul 	-1
Careless stair dancers are heading for a heavy landing 	9
I went out for a run this morning and tripped over  I could have been wearing the wrong size shoes  I haven't seen the footage yet 	-1
I love Switzerland  I'm not sure what the best thing about it is  but their flag is a big plus 	-1
Antennas aren't supposed to be this cheap  right 	-1
WORK HARDER     Millions on Welfare depend on YOU 	-1
Stolen eggs are poached 	4
Archimedes was buoyant at the thought 	3
( A ) bort  ( R ) etry  ( F ) ail  ( G ) rab _ Hammer	-1
I'm not paranoid  Which of my enemies told you this 	-1
OLD WATCHMAKERS never die  they just wind down 	-1
""" And we had to chisel taglines into the walls of the cave     """	-1
What it boils down to is this : eggs taste good 	3
The auditor is a fearsome figure 	6
When the butter melted  it was rendered useless 	8
Dwarf on a giant's shoulder sees farther of the two 	-1
Lose nothing for want of asking 	-1
That's the seventh dip  Namaan said cleanly 	-1
Winning candy as a prize is always a sweet victory 	9
When writing out drink recipes you have to have a first draft 	12
A pair of loud twins were stereo speakers 	8
A woody area shouldn't have this many chipmunks 	-1
I can cut a piece of wood just by staring at it  It's true  I saw it with my own eyes 	20
I can SPELL  I just can't TYPE worth a hoot 	-1
There's no such thing as a free lunch 	-1
Elvis Stamps : Where will your mail be spotted next 	-1
To learn rope tricks you have to be taut 	-1
The weatherman who forecasted snow in July was a bit of a flake 	13
Trespassers will be shot  survivors will be shot again 	-1
Satan can't bring you down any farther than your knees 	-1
The postmen get together for mail bonding 	-1
The grass is always greener on the other side 	-1
The family elders have relative importance 	5
A big enough hammer can usually fix anything 	-1
I was going to buy a book on phobias  but I was afraid it wouldn't help me 	14
Behind every great man is a woman rolling her eyes 	-1
When he switched from horses to sailing  his life took on a new tack 	15
He wanted desperately to be a good golfer - you could say he had a driving ambition 	16
Workers in an upholstery business demanded a wage hike to cushion the high cost of living 	11
There was a massive outcry against the plan to build a power line across a nature preserve  The public couldn't bear the tension 	24
I've passed the exam this time Susanremarked 	11
Fretting cares make grey hairs 	-1
If you have to pay to go to the river  we'd better stop at the bank 	19
Unclean joke : I am covered in mud 	1
"Bush says "" No new taxes  ""  Clinton says  "" No  NEW taxes  """	-1
Two companies that manufactured rulers decided to align 	8
Tit for tat 	-1
Give credit where credit is due 	-1
WinError # 01 : Unable to figure out own code  System crashed 	-1
Some people think I'm under the influence of alcohol 	-1
He bought a rope factory to tie into his empire 	7
My name is Carol  I sing during the holidays 	4
Some commands given by the army are specific  others are General 	12
I tried to look up impotence on the Internet but nothing came up 	-1
Noteworthy musicians are very composed 	5
I had some back trouble  but it's all behind me now 	12
Anything not nailed down is a cat toy 	-1
She got fired from the hot dog stand for putting her hair in a bun 	15
The Easter story is not a dead issue 	7
The ignorant always adore what they cannot understand 	-1
In an office : Would the person who took the step ladder yesterday kindly bring it back or further steps will be taken 	-1
Who do you have to sleep with to get service around here 	-1
How do you find a missing train  Follow the tracks 	11
Can I tell you a story about my bed  I made it up 	12
The lawyer recovered from his nasty cold 	-1
Figure skaters don't like to be in a rut 	11
Two monocles were making love in front of a window and made spectacles of themselves 	13
OLD PROGRAMMERS never die  they just move to new addresses 	9
There is no little enemy 	-1
The river crested when a factory spilled toothpaste into it 	3
I always believed my body was a prison for me  I was right  in biology I learnt they were made of cells 	24
A woman cries before the wedding  a man after 	-1
The photographer makes well developed arguments 	5
Diligent youth makes easy age 	-1
Better safe than sorry 	-1
My dog has a lot of potential  you just have to unleash it 	13
Why is the word abbreviation so long 	-1
There is only one way to open the door and that is the key 	14
The journalist went to Greece to see the ancient ruins and is now writing several columns about them 	16
The pen is mightier than the sword 	-1
A farmer with a rip in his clothes has an overall problem 	11
Three fingers were willing to cooperate but the thumb and forefinger were opposed 	13
You should never take rocks for granite 	-1
An idea is not responsible for fools who believe in it 	-1
It has been discovered that sales of irons are decreasing 	-1
It's the Borg   Quick  everyone try to look useless 	-1
He's dead  Jim  Kick him if you don't believe me 	-1
Geology class is the foundation of a decent education 	5
Some clockmakers are normal  but others are a little cuckoo 	11
I might study something at a university that someone once told me about - there is a degree of ambiguity there 	18
The fertiliser business is a growing industry 	6
How did the hipster burn his tongue  He drank coffee before it was cool 	15
Where do they get the seeds to plant seedless watermelons 	-1
A good baker will rise to the occasion  it's the yeast he can do 	-1
A goat that ate office supplies was on a staple diet 	10
They who would be young when they are old must be old when they are young 	-1
Old men retire after sixty 	-1
When the beautician was asked to complete her make - up work she blushed 	14
If you work in a bakery you may have to take on many rolls 	-1
Many things are lost for want of asking 	-1
We must take the bad with the good 	-1
Those who iron clothes have a lot of pressing demands 	9
He always called his girlfriend his'luck' Until he decided to push his luck 	-1
Old presidents never die they just keep going through their cabinets 	11
If a town's people have low IQs is the population dense 	13
There was a report of shots fired in a local bar  The police don't know what triggered the commotion 	20
Doctor  doctor  I keep thinking I'm a deck of cards  - I'll deal with you later  Next 	20
The world is your oyster 	-1
Making up puns about the finest soil is the loess form of humor 	-1
Even though Catholics in space are weightless  do they have mass 	12
Seek water in the sea 	-1
I couldn't decide whether or not to make spiced apple cider  so I mulled it over 	17
The plumber had to quit his job because it was too much of a drain 	15
I learned that the antelopes were coming when I heard the gnus 	-1
User : The hardest - to - setup PC peripheral you can buy 	-1
The rabbi became a professional golfer in university 	-1
Help wanted : telepath  You know where to apply 	-1
""" Happiness is a warm puppy  "" said the anaconda "	-1
The royal pharmacist wore a tuxedo and dispensed with formalities 	8
Suicide at sea is definitely going overboard 	7
Don't be sexist  Chicks hate that 	-1
Tim is a lousy swimmer  but he knew every dive in town  	11
It ain't over till it's over 	-1
Hey  wake up  It's time for your sleeping pills 	-1
Counsel is no command 	-1
My house is really small until I can't find my phone	-1
Some mathematicians are reluctant to cosine a loan 	-1
I never get lost  just momentarily disoriented 	-1
Train engineers chat about everything  their conversations often get derailed 	11
My name is Sherry  I work in a vineyard 	-1
I am not 40  I'm 18 with 22 years experience	-1
Is coffee your daily grind 	5
911 : Press 1 if robbery  Press 2 if house on fire  Press 3   	-1
A tatoo artist has designs on his clients 	5
OLD ELECTRICIANS never die  they just lose their resistance 	-1
Why didn't the little boy ask the flight attendant for a snack  He didn't have the nuts 	22
The gravity was so powerful  I couldn't stand it 	11
People who work at a mint make a lot of money 	6
Tony attempted to join his thin crust pizza company with Zimo's Thick Crust Pizza  but somehow it didn't pan out 	24
The color of the sun in the early morning : rose 	11
A cross between a puppy and a bunny is a rabid dog 	-1
Old logicians never die  they just vacate the premises 	10
You are an example of why some animals eat their young 	-1
Hands in Prayer : Already Digital	-1
Those who work on reducing auto emissions go home exhausted 	10
We welcome you with open psalms 	-1
For greeting card companies their fate is in the cards 	10
Pharmacists find their work to be very encapsulating 	8
Actions are usually right  but the reasons seldom are 	-1
Before a plumber retired  he took the final plunge 	10
Don't marry for money ; you can borrow it cheaper 	-1
Old professors never die  they just lose their class 	-1
A sign at a cemetery reads 'No Trespassing  Violators Will Face Grave Charges'	15
If you're a gardener you might call yourself a'plant manager'	-1
Two clock makers argued and got ticked off 	7
In zen skiing  you learn to become one with the snow 	-1
We'll never run out of math teachers because they always multiply 	13
Artificial knees and elbows were developed during a joint project 	9
The duck said to the bartender 'put it on my bill  '	13
In the office she was frantically looking for her false nails only to discover she had filed them away 	17
He that would eat the kernel must crack the nut 	-1
Reward for a job well done : more work 	-1
A Crucifix  Oy vey  have YOU got the wrong vampire   	-1
Reassembling the skeletons of prehistoric mammals can be a mammoth undertaking 	10
Drinking a whole bucket of water could make you turn pail 	-1
There is no such thing as bravery ; only degrees of fear 	-1
What did the cell that got stepped on by it's sister say  Mitosis 	-1
When the waiter told me they were out of corn I said 'That really shucks  '	-1
Alley cats like to go bowling 	1
When a letter carrier became a hero they called him a deliverer 	12
Old photographers never die  they're just out of the picture for a while 	-1
I work to buy a car to go to work 	-1
I never have understood how you're supposed to hit anything with a bat      it keeps flying away 	-1
A civil question deserves a civil answer 	-1
Chinese cooks like to wok away from trouble 	-1
OLD YACHTSMEN never die  they just keel over 	-1
He who lends to the poor gets interest from god	-1
Objects under T - Shirt are larger than they appear 	-1
The obese editor started a weight redaction program 	-1
A friend is best found in adversity 	-1
My mom ran out of poultry seasoning so she winged it 	10
Abstinence makes the heart grow fonder 	-1
A cardboard belt would be a waist of paper 	-1
Massage therapists need a touch of style 	5
My new girlfriend and I are moving together into a tree house  I hope we won't fall out 	20
Sign on a music store window :'Come in and pick out a drum - - then beat it  '	19
The painter was hospitalized due to too many strokes 	9
Bridge tolls have increased significantly over a 5 year span 	10
Hasty judgment leads to repentance 	-1
You're the reason the gene pool needs a lifeguard 	8
An apple farmer with poor yields has to get to the core of the problem 	12
A prisoner's favorite punctuation mark is the period  It marks the end of his sentence 	18
Better to be alone than in bad company 	-1
An apple a day keeps the doctor away 	-1
If you leave alphabet soup on the stove and go out  it could spell disaster 	15
Stamp out excessive postage prices 	1
'I've run out of wool  said Nancy  knitting her brow 	9
When priests have a good idea they are supposed to parish the thought 	-1
Bitter pills may have blessed effects 	-1
The man who fell into an upholstery machine is fully recovered 	-1
Birds of a feather flock together 	-1
An old spice wholesaler is a seasoned veteran 	7
Once again  Odo wins the Twister championship 	-1
With certain cashiers  things are slow to register 	9
The general started bowling before his aide had entered his name on the score sheet  He had launched a pre - emptive strike 	24
A discussion of digging a new mine shaft was too deep for him 	11
The parsley farmer couldn't pay his child support  so the courts garnished his wages 	15
The best things in life are free 	-1
If you got tired of living  don't share your thoughts with all your friends  They might not give you a chance to change your mind 	-1
Some people don't have the Vegas idea of how to quit gambling 	-1
The star asked the sun why the moon was always up so late  Sun responded that it was just a phase 	22
""" I'm sick  I ought to be home in bed with a nurse  """	-1
OLD FORESTERS never die  they just pine away 	8
A library should have several floors because it is a multi story building 	12
I usually take steps to avoid elevators 	4
Dermatologists often make rash statements 	4
Because of too much stress  the violinist has become unstrung 	11
She became a telephone operator because it was her calling 	10
Great beer bellies are made  not born 	-1
Lawyers have to like alcohol because they're always being called to the bar 	15
A career is a job that takes about 20 more hours a week 	-1
The inventor of shag carpet made a big pile 	9
The Vikings landed during thunder and lightning and took the city by storm 	13
Windows loading  Come back tomorrow 	-1
Where does a two dimensional shape live  A flat 	10
He bent over to pick up a sieve and strained himself 	10
I thought about studying astronomy for university but I knew I would just be taking up space 	17
53  7 % of all statistics are totally incorrect	-1
Manners maketh the man 	-1
Tonight's forecast : Dark  scattered light toward dawn 	-1
Badminton players are for the birds 	6
Two snakes parted  and one said 'fangs for the memories'	-1
A ditch digger was entrenched in his career 	5
Wally wasn't sure in which branch of the Army he wanted to serve  but he gravitated toward the paratroops 	19
There are sins of omission as well as of commission 	-1
The cat took up computer lessons in hopes of mastering its grip on a mouse 	15
We don't read palms ; we wave them 	-1
Actors are cast through their good and bad stages 	9
My boss is going to fire the employee with the worst posture  I have a hunch  it might be me 	17
In the novel  there is an unexpected secret meeting of the lovers  It is a plot tryst 	-1
Be still my hart she murmured  thinking how magnificent and stag - like he was 	-1
A train load of paint derailed  Nearby businesses were put in the red 	14
Even after retiring  the baker keeps making lots of dough 	11
There is danger in delay 	-1
Why did the termites eat the wooden barrel  To stave off hunger 	11
A blow with a word strikes deeper than a blow with a sword 	-1
Send $ 20 and I will double your IQ or no money back	-1
A circus lion won't eat clowns because they taste funny 	12
Swine were the most influential animal of the last decade 	-1
He was a restaurant critic but had no taste 	9
'I've got to stop this motor   Lauren choked 	15
The boy's guitar teacher helped him pick up his skills 	9
Love is telling someone to go to hell and worrying about them getting there safely 	-1
It's uncomfortable when the neighbor's kids look like you 	-1
He hates his job selling used cars  but it's just his lot in life 	15
   So simple a child could do it  Go find me a child 	-1
After selling a shipment of salt the salesman said'let's shake on that  '	14
Dogs and birds can be good friends too 	-1
The defendant in a coffee theft trial refused to testify on the grounds that could incriminate him 	13
A broken watch is right two times a day 	-1
Those who have icicles keep a stiff upper drip 	-1
At first he was was a sprinter  but then he decided to run for office 	14
The owner of the hair salon had to make cuts on his staff 	10
Don't expect to eat something fancy when you're flying because it's plane food 	-1
Here  you go first  you're immune to bullets 	-1
A tattle tale pig is a squealer 	7
I'm dying  Zoey croaked 	-1
If Version 1  0 works someone goofed   	-1
I went to buy some property with a hill on it  but it was a little steep 	18
Q : River Ravi flows in which state  A : Liquid 	-1
If you want those ashes  you'll have to urn them 	-1
They called him the king of the dentists because he specialized in crowns 	13
Set your drink on a skateboard  they make good coasters 	11
A thief who stole a calendar got twelve months 	-1
I was going to buy some loose tea  but the price was too steep 	15
Improve your memory by doing unforgettable things 	-1
She was only a watchman's daughter  but any time suited her 	12
Monkey see  monkey do 	-1
When I asked if I could get insurance if the nearby volcano erupted they assured me I would be covered 	20
I went to the store to buy some soup but they were out of stock 	15
Walk softly  carry a big stick 	-1
The man brought an umbrella with him into the ice cream store because he heard there was a chance of sprinkles 	21
Be careful what you wish for  you just might get it 	-1
Laugh and the world laughs with you  cry and you cry alone 	-1
'This steamroller is amazing  said Wendy flatteringly 	-1
Proofread carefully to see if you any words out 	-1
""" Well done "" is better than "" well said "" "	-1
Old musicians never die they just get played out 	8
Old quilters never die  they just go under cover 	10
Her exam was on the human skeleton  so she decided to bone up 	13
Deep calls to deep 	-1
What's another word for Thesaurus 	-1
Is fear of sliced bacon irrational 	-1
Chimney sweeping is a hard job that soots me fine 	-1
A woman who became queen considered it her crowning achievement 	9
Old guitarists never die  they just fret their lives away	8
It's a good horse that never stumbles 	-1
LSD : Virtual Reality without all the fancy hardware	-1
Why do crabs never share  Because they're shellfish 	-1
Where there's muck there's brass 	-1
My wife accused me of not having any empathy  I don't understand why she feels that way 	-1
Men are like bank accounts  Without a lot of money  they don't generate much interest 	19
Fishers often wet their appetite 	-1
Why was the rabbit depressed  He was just going through a bad patch 	14
I'd love to  but my bathroom tiles need grouting 	-1
I wish Noah had swatted those two mosquitoes     	-1
When poker players have to fold they feel a bit discarded 	-1
OLD WRITERS never die  they just get erased 	9
A baseball pitcher asked if he had a good curve ball  but wanted a straight answer 	16
A fisherman who was also a pianist was an expert with scales 	12
His day job was astronomy but at night time he was moonlighting 	12
I'm not afraid of flying  I'm afraid of crashing 	-1
As I revived her using mouth to mouth resuscitation  in spite of my lisp  I couldn't help noticing her beautiful breaths 	-1
Semaphore was flagged away as a form of communication decades ago 	3
Home is where the heart is 	-1
Did you hear about the guy who planted bullets  He wanted to see a lot of little shoots 	19
OLD CARDIOLOGISTS never die  they just lose heart 	-1
The organizational get together for a company football team was called a kickoff meeting 	13
A new batter joined the baseball team  and he was a real hit 	14
Mind your P's and Q's 	-1
In the middle of difficulty lies opportunity 	-1
All good things must come to an end 	-1
He sold candy and chocolate  A lot of girls were sweet on him 	12
I tried hard to get into vexillology  but  in the end  had to flag it away 	17
The price of the big fan blew me away 	7
A cat may look at a king 	-1
He became an astronaut and had a blast 	8
I used to have a fear of hurdles  but I got over it 	13
Only the good die young 	-1
A doctor's mistakes go six feet under ; a dentist's cover an acre 	-1
Some people go into martial arts just for kicks 	9
He threw jello at his wife  who had him arrested for carrying a congealed weapon 	-1
Sea captains have a lot of latitude 	7
I'm blind enough to look at the situation in the wrong fashion  so I changed my clothes 	14
I just finished reading Newton's Principia Mathematica  and found much of it to be rather derivative 	19
A farmer wanting to kill a chicken for dinner has to move faster than a speeding pullet 	-1
A magician was walking down the street and turned into a grocery store 	9
Old gamblers never die  they just get discarded 	-1
Doctor  Doctor My little boy has just swallowed a roll of film  - Hmmmm  Let's hope nothing develops  Next 	23
The hardest thing for a person to keep is his opinion	-1
Harry and Clem the carpenters  argued mightily on how best to complete the dinette set they were working on  They finally agreed to table the discussion 	26
Doctor  Doctor I feel like a pair of curtains - Well pull yourself together then  Next 	-1
Deal gently with the bird you mean to catch 	-1
A boxer who wants to get married has the ring to worry about 	10
It was the first time she'd seen a live sponge on display  and she really soaked it in 	19
She was only a Lighthouse keeper's daughter  but she never went out at night	-1
Lizards have a very strong heartbeat which can be faintly heard anywhere on their body  said Mr  Johnson  beginning a story  Come listen to this tail 	-1
A bad settlement is better than a good lawsuit 	-1
It's hard for a depressed turtle to get out of his shell 	14
Put a beggar on horseback and he'll ride it to death 	-1
How do you get straight A's  By using a ruler 	5
He sat in the magician's audience dressed as a cactus  He was a plant 	17
The man found something to catch fish  which was a net gain 	12
Martians welcome  We have space for everyone 	6
Smaller babies may be delivered by stork but the heavier ones need a crane 	14
If I were incredibly rich  I would hire two private investigators  and get them to follow each other 	-1
What do dolphins have that no other mammals have  Baby dolphins 	-1
Derringer had one shot at fame 	4
You can't see the wood for the trees 	-1
How could I trust the ceiling fan installer when I knew he was always screwing up 	15
Practice what you preach 	-1
There is rarely a sale on beer because the demand is always high so there's no need to create a buzz 	23
Overdrawn  No way  I still have checks left 	-1
Little by little and bit by bit 	-1
She told me the drink was non - alcoholic  but where was the proof 	15
A politician decided to resign on the day of an eclipse because it was a dark day 	16
How come wrong numbers are never busy   	-1
The race dogs got a bad case of the fleas - they had to be scratched 	16
Sow thin  shear thin 	-1
Continually discovering new viruses can become a strain 	8
Drink coffee  Do stupid things faster with more energy 	-1
If a clock had legs  time would run out 	9
Network management is like trying to herd cats   	-1
An argument at the Bomb Squad convention ended in a blowup 	11
How do you fix a broken tomato  With tomato paste 	11
Wade not in unknown waters 	-1
A cutlery manufacturing company was built at a fork in the road 	9
The tailor loves telling ironic jokes 	-1
No news is good news 	-1
Half a loaf is better than no bread 	-1
My name is John  I'm a plumber	-1
Don't lend people money  It causes amnesia 	-1
I love to eat eggs at the crack of dawn 	8
The musician loved drinking and knew all the bars in town 	9
You can catch more flies with a drop of honey than with a barrel of vinegar 	-1
Cross river * THEN * insult alligator 	-1
The man who impulsively got a cat despite his allergies later realized that it was a rash decision 	17
Being a fire - fighter ignited my interest heavily 	6
Stick em up  < BANG > Okay     DON'T stick em'up 	-1
A bank manager who was also a high jumper spent most of his time in the vault 	17
You know the tree by its fruit 	-1
The dentist's alibi was full of holes  so the police performed a cavity search 	9
The chickens were distraught when the tornado destroyed their home  Hopefully they will be able to recoup 	-1
The tongue weighs very little  but few people can hold it 	11
Good swimmers are often drowned 	-1
Professionals built the Titanic  amateurs built the ark 	-1
Bathroom scale : Something you stand on and swear at 	-1
Old chemists never die  they just stop reacting 	9
The janitor's union called for sweeping reforms 	8
Take things as you find them 	-1
The untruthful deli clerk was full of baloney 	8
People who live in glass houses shouldn't throw stones 	-1
When the branding iron was invented cattle were very impressed 	-1
A friend told me he dug a hole in my backyard and filled it with water  I thought he meant well 	22
He stared at his belly button so much  he was promoted to navel officer 	-1
Tip : Never take a beer to a job interview 	-1
What would you call Superman if he was a thief  Man of Steal 	-1
He stole an invention and then told patent lies 	8
The stock market crashes  but Viagra beats the flop 	-1
If you want a thing done right  do it yourself 	-1
If it's obvious  it's obviously wrong 	-1
I'd love to change the world    if I can get the source code 	-1
My other computer runs the Enterprise 	-1
Two cheerleaders got married after they met by chants 	-1
A man given a watch at his retirement said'it's about time'	15
OLD ORGANISTS never die  they just come to a stop 	-1
I always had wanted to know how ships really worked  and now I finally was going to sea 	-1
Old statisticians never die  they just get broken down by age  sex and marital status 	-1
I majored in nursing but I had to drop it because I ran out of milk 	4
"Press any key to continue   But my computer doesn't have an "" any "" key "	-1
Old electricians never die they just lose contact 	-1
'Use your own toothbrush Jasonbristled 	11
When the shoe store owner discovered that someone had broken into his store  the police pumped him for information 	17
The railway constructions are on track 	6
A doctor who became a bartender was always giving out shots 	11
All humans are automatically born with a shopping disorder	-1
My job is secure  No one else wants it 	-1
Acupuncture is a jab well done 	-1
My new expensive vacuum cleaner really sucked 	7
Dear Santa  all I want is your list of naughty boys 	-1
If a horse could predict the weather  it would probably say that the weather is stable 	6
The mortician was late for dinner because he was buried in his work 	10
In the dark  Follow the son 	-1
Where ignorance is bliss 'tis folly to be wise 	-1
The members of the oldest profession are not really lost women ; they are just mislaid 	-1
Can honeybee abuse lead to a sting operation 	7
My name is Cookie  I'm a baker 	-1
A reporter was at an ice cream store getting the scoop 	11
Still water runs deep 	-1
At a conference  I unexpectedly encountered the wife of a former client  whom I hadn't seen in 20 or more years  You haven't changed  she exclaimed  There's plenty of time for that  I replied  The dinner isn't until this evening 	33
The mountaineer fell off the cliff and broke his leg 	-1
Sin enough and you will become dead to it 	-1
A golden bit does not make the horse any better 	-1
An accountant for a restaurant has to be sure the books are not cooked 	14
So  how's the flower business going  Oh  it's blossoming quite nicely 	16
Press any key to continue or any other key to quit	-1
When thy friend asks  let there be no to - morrow 	-1
If you trust before you try  you may repent before you die 	-1
My grandmother gave me  sound advice on her deathbed : it's worth spending money on good speakers 	5
The museum curator loves showing us his art 	-1
Musicians need a leader because they don't know how to conduct themselves 	13
It's not that the man did not know how to juggle  he just didn't have the balls to do it 	22
My advanced geometry class is full of squares 	8
If you think there is good in everybody  you probably haven't met everybody 	-1
Talk of the devil and he's sure to appear 	-1
He frequently practices furtive looks to operate at peek efficiency 	-1
Dentists on death fill their last cavity 	-1
He lit the arrow head because he wanted to fire it 	10
Labor Day is a good time to stop and reflect on the august events the the preceding month 	-1
Geologists can be sedimental about their work 	-1
Most males in a men's room are stand - up guys 	10
Meet me at the clothes line  That's where I hang out 	13
Engineers : often wrong  seldom in doubt 	-1
People in medieval days were always hanging out by the gallows 	7
While having a hard time water - skiing  the boy commented 'This is such a drag  '	19
